t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
57,Off,0,0,0,0,0,0,1,0,0,0,0,0
265,Off,0,0,0,0,0,0,1,0,0,0,0,0
521,Off,0,0,0,0,0,0,1,0,0,0,0,0
773,Off,0,0,0,0,0,0,1,0,0,0,0,0
1026,Off,0,0,0,0,0,0,1,0,0,0,0,0
1278,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
1531,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
1785,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
2040,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
2293,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
2547,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
2800,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
3003,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
3252,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
3560,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
3808,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
4056,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
4305,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
4554,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
4801,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
5049,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
5297,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
5547,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
5798,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
6047,Reconnecting,0,0,0,0,0,0,1,27,0,0,0,0
6297,Reconnecting,0,0,0,0,0,0,2,27,0,0,0,0
6545,Reconnecting,0,0,0,0,0,0,2,27,0,0,0,0
6792,Reconnecting,0,0,0,0,0,0,2,27,0,0,0,0
7041,Reconnecting,0,0,0,0,0,0,2,27,0,0,0,0
7290,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
7535,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
7785,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
8033,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
8281,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
8530,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
8782,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
9030,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
9283,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
9527,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
9777,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
10024,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
10273,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
10522,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
10772,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
11018,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
11266,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
11517,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
11765,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
12014,Reconnecting,0,0,0,0,0,0,2,54,0,0,0,0
12265,Reconnecting,0,0,0,0,0,0,3,54,0,0,0,0
12515,Reconnecting,0,0,0,0,0,0,3,54,0,0,0,0
12761,Reconnecting,0,0,0,0,0,0,3,54,0,0,0,0
13011,Reconnecting,0,0,0,0,0,0,3,54,0,0,0,0
13258,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
13506,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
13756,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
14002,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
14251,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
14561,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
14810,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
15058,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
15308,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
15555,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
15803,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
16052,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
16299,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
16550,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
16798,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
17046,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
17294,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
17543,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
17792,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
18041,Reconnecting,0,0,0,0,0,0,3,81,0,2,0,0
18290,Reconnecting,0,0,0,0,0,0,4,81,0,2,0,0
18539,Reconnecting,0,0,0,0,0,0,4,81,0,2,0,0
18788,Reconnecting,0,0,0,0,0,0,4,81,0,2,0,0
19036,Reconnecting,0,0,0,0,0,0,4,90,0,2,0,0
19284,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
19530,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
19781,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
20029,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
20277,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
20527,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
20775,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
21023,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
21272,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
21520,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
21769,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
22015,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
22264,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
22514,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
22762,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
23012,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
23261,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
23509,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
23758,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
24007,Reconnecting,0,0,0,0,0,0,4,108,155,158,0,0
24257,Reconnecting,0,0,0,0,0,0,5,108,155,158,0,0
24504,Reconnecting,0,0,0,0,0,0,5,108,155,158,0,0
24752,Reconnecting,0,0,0,0,0,0,5,108,155,158,0,0
25002,Reconnecting,0,0,0,0,0,0,5,108,155,158,0,0
25313,Reconnecting,552960,1567,0,0,0,0,5,139,0,166,0,166
25560,Playing,3270656,9270,0,0,0,0,5,249,0,166,0,166
25808,Playing,5401600,15310,0,0,0,0,5,339,0,166,0,166
26057,Playing,5402624,15313,0,0,0,0,5,342,0,176,0,176
26305,Playing,5367808,15214,0,0,0,0,5,344,0,176,0,176
26555,Playing,5388288,15272,0,0,0,0,5,348,176,176,176,176
26802,Playing,5416960,15354,0,0,0,0,5,352,0,176,0,176
27052,Playing,5409792,15333,0,0,0,0,5,355,171,176,171,176
27301,Playing,5430272,15391,0,0,0,0,5,359,0,176,0,176
27550,Playing,5403648,15316,0,0,0,0,5,361,13,176,13,176
27800,Playing,5396480,15296,0,0,0,0,5,364,16,176,16,176
28048,Playing,5425152,15377,0,0,0,0,5,368,0,176,0,176
28297,Playing,5390336,15278,0,0,0,0,5,370,0,176,0,176
28545,Playing,5355520,15180,0,0,0,0,5,375,1,176,1,176
28793,Playing,5384192,15261,0,0,0,0,5,379,0,176,0,176
29041,Playing,5321728,15084,0,0,0,0,5,380,174,176,174,176
29290,Playing,5342208,15142,0,0,0,0,5,384,95,176,95,176
