t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
51,Off,0,0,0,0,0,0,1,0,0,0,0,0
253,Off,0,0,0,0,0,0,1,0,0,0,0,0
507,Off,0,0,0,0,0,0,1,0,0,0,0,0
760,Off,0,0,0,0,0,0,1,0,0,0,0,0
1012,Off,46080,130,0,0,0,0,1,5,0,0,0,0
1267,Off,1179648,3343,0,0,0,0,1,21,0,185,0,185
1519,Playing,2715648,7697,0,0,0,0,1,34,0,185,0,185
1773,Playing,3639296,10315,0,0,0,0,1,42,0,185,0,185
2027,Playing,3687424,10451,0,0,0,0,1,43,267,267,267,267
2280,Playing,3605504,10219,0,0,0,0,1,43,267,267,267,267
2533,Playing,3653632,10356,0,0,0,0,1,44,540,540,540,540
2786,Playing,3563520,10100,0,0,0,0,1,44,540,540,540,540
3040,Playing,3611648,10237,0,0,0,0,1,45,440,540,440,540
3288,Playing,3521536,9981,0,0,0,0,1,45,440,540,440,540
3536,Playing,3531776,10010,0,0,0,0,1,47,1,548,2,549
3785,Playing,3441664,9755,0,0,0,0,1,47,1,548,2,549
4031,Playing,3499008,9917,0,0,0,0,1,48,441,548,441,549
4281,Playing,3417088,9685,0,0,0,0,1,48,441,548,441,549
4528,Playing,3474432,9848,0,0,0,0,1,49,603,603,603,603
4776,Playing,3384320,9592,0,0,0,0,1,49,603,603,603,603
5026,Playing,3449856,9778,0,0,0,0,1,50,441,603,441,603
5276,Playing,3359744,9523,0,0,0,0,1,50,441,603,441,603
5526,Playing,3269632,9267,0,0,0,0,1,50,441,603,441,603
5775,Playing,3326976,9430,0,0,0,0,1,51,661,661,662,662
6024,Playing,3392512,9615,0,0,0,0,1,52,440,661,441,662
6272,Playing,3302400,9360,0,0,0,0,1,52,440,661,441,662
6521,Playing,3212288,9105,0,0,0,0,1,52,440,661,441,662
6769,Playing,3277824,9290,0,0,0,0,1,53,636,661,636,662
7017,Playing,3187712,9035,0,0,0,0,1,53,636,661,636,662
7263,Playing,3217408,9119,0,0,0,0,1,55,0,661,0,662
7512,Playing,3135488,8887,0,0,0,0,1,55,0,661,0,662
7761,Playing,3165184,8971,0,0,0,0,1,57,0,661,0,662
8009,Playing,3075072,8716,0,0,0,0,1,57,0,661,0,662
8258,Playing,3131392,8875,0,0,0,0,1,58,463,661,463,662
8509,Playing,3041280,8620,0,0,0,0,1,58,463,661,463,662
8758,Playing,3089408,8756,0,0,0,0,1,59,501,661,501,662
9007,Playing,3154944,8942,0,0,0,0,1,60,459,661,459,662
9255,Playing,3064832,8687,0,0,0,0,1,60,459,661,459,662
9504,Playing,2974720,8431,0,0,0,0,1,60,459,661,459,662
9752,Playing,3031040,8591,0,0,0,0,1,61,642,661,643,662
10001,Playing,2940928,8335,0,0,0,0,1,61,642,661,643,662
10313,Playing,2964480,8402,0,0,0,0,1,62,455,661,456,662
10560,Playing,2882560,8170,0,0,0,0,1,62,455,661,456,662
10806,Playing,2930688,8306,0,0,0,0,1,63,566,661,566,662
11056,Playing,2848768,8074,0,0,0,0,1,63,566,661,566,662
11307,Playing,2896896,8211,0,0,0,0,1,64,446,661,446,662
11554,Playing,2935808,8321,0,0,0,0,1,65,449,661,449,662
11807,Playing,2845696,8066,0,0,0,0,1,65,449,661,449,662
12055,Playing,2902016,8225,0,0,0,0,1,66,444,661,444,662
12303,Playing,2811904,7970,0,0,0,0,1,66,444,661,444,662
12551,Playing,2860032,8106,0,0,0,0,1,67,475,661,475,662
12799,Playing,2778112,7874,0,0,0,0,1,67,475,661,475,662
13047,Playing,2826240,8010,0,0,0,0,1,68,461,661,461,662
13295,Playing,2736128,7755,0,0,0,0,1,68,461,661,461,662
13544,Playing,2792448,7915,0,0,0,0,1,69,506,661,506,662
13791,Playing,2702336,7659,0,0,0,0,1,69,506,661,506,662
14040,Playing,2713600,7691,0,0,0,0,1,71,1,661,1,662
14289,Playing,2631680,7459,0,0,0,0,1,71,1,661,1,662
14538,Playing,2670592,7569,0,0,0,0,1,72,545,661,545,662
14786,Playing,2580480,7314,0,0,0,0,1,72,545,661,545,662
15034,Playing,2609152,7395,0,0,0,0,1,73,444,661,444,662
15283,Playing,2519040,7140,0,0,0,0,1,73,444,661,444,662
15532,Playing,2548736,7224,0,0,0,0,1,74,549,661,549,662
15780,Playing,2466816,6992,0,0,0,0,1,74,549,661,549,662
16027,Playing,2496512,7076,0,0,0,0,1,75,465,661,465,662
16278,Playing,2406400,6820,0,0,0,0,1,75,465,661,465,662
16526,Playing,2444288,6928,0,0,0,0,1,76,512,661,513,662
16773,Playing,2354176,6672,0,0,0,0,1,76,512,661,513,662
17022,Playing,2383872,6757,0,0,0,0,1,77,456,661,457,662
17272,Playing,2301952,6524,0,0,0,0,1,77,456,661,457,662
17520,Playing,2331648,6608,0,0,0,0,1,78,572,661,572,662
17769,Playing,2241536,6353,0,0,0,0,1,78,572,661,572,662
18018,Playing,2279424,6460,0,0,0,0,1,79,448,661,448,662
18266,Playing,2189312,6205,0,0,0,0,1,79,448,661,448,662
18515,Playing,2219008,6289,0,0,0,0,1,80,560,661,560,662
18763,Playing,2137088,6057,0,0,0,0,1,80,560,661,560,662
19012,Playing,2157568,6115,0,0,0,0,1,81,474,661,474,662
19260,Playing,2067456,5860,0,0,0,0,1,81,474,661,474,662
19509,Playing,1985536,5627,0,0,0,0,1,81,474,661,474,662
19757,Playing,2006016,5685,0,0,0,0,1,82,638,661,639,662
20006,Playing,1915904,5430,0,0,0,0,1,82,638,661,639,662
20255,Playing,1927168,5462,0,0,0,0,1,83,459,661,460,662
20502,Playing,1955840,5543,0,0,0,0,1,84,472,661,472,662
20751,Playing,1865728,5288,0,0,0,0,1,84,472,661,472,662
21061,Playing,1869824,5299,0,0,0,0,1,85,342,661,342,662
21310,Playing,1779712,5044,0,0,0,0,1,85,342,661,342,662
21558,Playing,1808384,5125,0,0,0,0,1,86,496,661,497,662
21804,Playing,1718272,4870,0,0,0,0,1,86,496,661,497,662
22055,Playing,1747968,4954,0,0,0,0,1,87,621,661,621,662
22303,Playing,1657856,4699,0,0,0,0,1,87,621,661,621,662
22554,Playing,1686528,4780,0,0,0,0,1,88,480,661,480,662
22802,Playing,1596416,4524,0,0,0,0,1,88,480,661,480,662
23051,Playing,1616896,4583,0,0,0,0,1,89,453,661,453,662
23297,Playing,1534976,4350,0,0,0,0,1,89,453,661,453,662
23547,Playing,1546240,4382,0,0,0,0,1,90,538,661,538,662
23797,Playing,1456128,4127,0,0,0,0,1,90,538,661,538,662
24045,Playing,1484800,4208,0,0,0,0,1,91,412,661,412,662
24293,Playing,1394688,3953,0,0,0,0,1,91,412,661,412,662
24541,Playing,1405952,3985,0,0,0,0,1,92,496,661,497,662
24791,Playing,1324032,3752,0,0,0,0,1,92,496,661,497,662
25041,Playing,1353728,3837,0,0,0,0,1,93,521,661,521,662
25287,Playing,1263616,3581,0,0,0,0,1,93,521,661,521,662
25536,Playing,1301504,3689,0,0,0,0,1,94,566,661,566,662
25784,Playing,1211392,3433,0,0,0,0,1,94,566,661,566,662
26034,Playing,1231872,3491,0,0,0,0,1,95,445,661,445,662
26282,Playing,1149952,3259,0,0,0,0,1,95,445,661,445,662
26531,Playing,1170432,3317,0,0,0,0,1,96,634,661,634,662
26780,Playing,1080320,3062,0,0,0,0,1,96,634,661,634,662
27028,Playing,1108992,3143,0,0,0,0,1,97,337,661,337,662
27278,Playing,1018880,2887,0,0,0,0,1,97,337,661,337,662
27526,Playing,1039360,2946,0,0,0,0,1,98,496,661,497,662
27775,Playing,957440,2713,0,0,0,0,1,98,496,661,497,662
28024,Playing,977920,2771,0,0,0,0,1,99,541,661,541,662
28273,Playing,887808,2516,0,0,0,0,1,99,541,661,541,662
28520,Playing,916480,2597,0,0,0,0,1,100,576,661,576,662
28769,Playing,826368,2342,0,0,0,0,1,100,576,661,576,662
29016,Playing,856064,2426,0,0,0,0,1,101,454,661,454,662
29261,Playing,774144,2194,0,0,0,0,1,101,454,661,454,662
29510,Playing,794624,2252,0,0,0,0,1,102,438,661,438,662
29755,Playing,712704,2020,0,0,0,0,1,102,438,661,438,662
30006,Playing,723968,2052,0,0,0,0,1,103,495,661,496,662
30255,Playing,633856,1796,0,0,0,0,1,103,495,661,496,662
30503,Playing,662528,1877,0,0,0,0,1,104,534,661,534,662
30750,Playing,572416,1622,0,0,0,0,1,104,534,661,534,662
31000,Playing,592896,1680,0,0,0,0,1,105,483,661,484,662
31311,Playing,486400,1378,0,0,0,0,1,105,483,661,484,662
31500,Playing,420864,1192,0,0,0,0,1,105,483,661,484,662
31750,Playing,450560,1277,0,0,0,0,1,106,681,681,681,681
32062,Playing,463872,1314,0,0,0,0,1,107,450,681,451,681
32309,Playing,373760,1059,0,0,0,0,1,107,450,681,451,681
32558,Playing,393216,1114,0,0,0,0,1,109,0,681,0,681
32809,Playing,303104,859,0,0,0,0,1,109,0,681,0,681
33059,Playing,323584,917,0,0,0,0,1,110,494,681,494,681
33309,Playing,233472,661,0,0,0,0,1,110,494,681,494,681
33558,Playing,271360,769,0,0,0,0,1,111,624,681,624,681
33805,Playing,181248,513,0,0,0,0,1,111,624,681,624,681
34054,Playing,210944,597,0,0,0,0,1,112,431,681,432,681
34303,Playing,129024,365,0,0,0,0,1,112,431,681,432,681
34553,Playing,149504,423,0,0,0,0,1,113,612,681,613,681
34799,Playing,59392,168,0,0,0,0,1,113,612,681,613,681
35048,Playing,97280,275,0,0,0,0,1,114,433,681,433,681
35297,Playing,7168,20,0,0,0,0,1,114,433,681,433,681
35546,Buffering,119808,339,1,0,0,0,1,115,403,681,403,681
35798,Buffering,119808,339,1,0,0,0,1,115,403,681,403,681
36044,Buffering,221184,626,1,0,0,0,1,117,0,681,0,681
36293,Buffering,221184,626,1,0,0,0,1,117,0,681,0,681
36543,Buffering,221184,626,1,0,0,0,1,117,0,681,0,681
36791,Buffering,340992,966,1,0,0,0,1,118,716,716,716,716
37040,Buffering,340992,966,1,0,0,0,1,118,716,716,716,716
37289,Buffering,378880,1073,1,1,0,0,1,119,471,716,471,716
37538,Buffering,288768,818,1,1,0,0,1,119,471,716,471,716
37787,Buffering,309248,876,1,1,0,0,1,120,542,716,542,716
38036,Buffering,338944,960,1,1,0,0,1,121,276,716,276,716
38284,Buffering,257024,728,1,1,0,0,1,121,276,716,276,716
38535,Buffering,286720,812,1,1,0,0,1,122,496,716,496,716
38781,Buffering,204800,580,1,1,0,0,1,122,496,716,496,716
39030,Buffering,243712,690,1,1,0,0,1,123,582,716,582,716
39279,Buffering,153600,435,1,1,0,0,1,123,582,716,582,716
39529,Buffering,63488,179,1,1,0,0,1,123,582,716,582,716
39777,Buffering,110592,313,1,1,0,0,1,124,670,716,670,716
40026,Buffering,20480,58,1,1,0,0,1,124,670,716,670,716
40276,Buffering,50176,142,1,1,0,0,1,125,449,716,450,716
40526,Buffering,0,0,1,1,0,0,1,125,449,716,450,716
40773,Playing,28672,81,1,2,0,0,1,126,455,716,455,716
41019,Buffering,119808,339,2,2,0,0,1,127,449,716,449,716
41268,Buffering,119808,339,2,2,0,0,1,127,449,716,449,716
41516,Buffering,211968,600,2,2,0,0,1,129,0,716,0,716
41764,Buffering,211968,600,2,2,0,0,1,129,0,716,0,716
42012,Buffering,340992,966,2,2,0,0,1,130,449,716,449,716
42261,Buffering,340992,966,2,2,0,0,1,130,449,716,449,716
42510,Buffering,340992,966,2,2,0,0,1,130,449,716,449,716
42759,Buffering,379904,1076,2,3,0,0,1,131,599,716,599,716
43009,Buffering,427008,1210,2,3,0,0,1,132,450,716,451,716
43255,Buffering,336896,954,2,3,0,0,1,132,450,716,451,716
43505,Buffering,357376,1012,2,3,0,0,1,133,489,716,490,716
43754,Buffering,275456,780,2,3,0,0,1,133,489,716,490,716
44002,Buffering,305152,864,2,3,0,0,1,134,450,716,450,716
44251,Buffering,215040,609,2,3,0,0,1,134,450,716,450,716
44560,Buffering,228352,647,2,3,0,0,1,135,501,716,501,716
