t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
505,Off,0,0,0,0,0,0,1,0,0,0,0,0
757,Off,0,0,0,0,0,0,1,0,0,0,0,0
1014,Off,0,0,0,0,0,0,1,0,0,0,0,0
1266,Off,0,0,0,0,0,0,1,0,0,0,0,0
1518,Off,0,0,0,0,0,0,1,6,0,0,0,0
1772,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
2026,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
2278,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
2530,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
2784,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
3010,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
3256,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
3504,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
3752,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
4000,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
4250,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
4558,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
4805,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
5056,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
5306,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
5555,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
5804,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
6054,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
6303,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
6550,Reconnecting,0,0,0,0,0,0,1,17,0,192,0,0
6799,Reconnecting,0,0,0,0,0,0,2,17,0,192,0,0
7047,Reconnecting,0,0,0,0,0,0,2,17,0,192,0,0
7293,Reconnecting,0,0,0,0,0,0,2,17,0,192,0,0
7542,Reconnecting,0,0,0,0,0,0,2,17,0,192,0,0
7790,Reconnecting,0,0,0,0,0,0,2,17,0,192,0,0
8039,Reconnecting,0,0,0,0,0,0,2,20,0,192,0,0
8289,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
8540,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
8788,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
9037,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
9284,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
9535,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
9782,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
10031,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
10279,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
10529,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
10774,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
11022,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
11274,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
11522,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
11775,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
12022,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
12272,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
12518,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
12768,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
13015,Reconnecting,0,0,0,0,0,0,2,33,0,192,0,0
13263,Reconnecting,0,0,0,0,0,0,3,33,0,192,0,0
13513,Reconnecting,0,0,0,0,0,0,3,33,0,192,0,0
13759,Reconnecting,0,0,0,0,0,0,3,33,0,192,0,0
14009,Reconnecting,0,0,0,0,0,0,3,33,0,192,0,0
14257,Reconnecting,0,0,0,0,0,0,3,33,0,192,0,0
