t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
51,Off,0,0,0,0,0,0,1,0,0,0,0,0
255,Off,0,0,0,0,0,0,1,0,0,0,0,0
508,Off,0,0,0,0,0,0,1,0,0,0,0,0
761,Off,0,0,0,0,0,0,1,0,0,0,0,0
1014,Off,0,0,0,0,0,0,1,0,0,0,0,0
1266,Off,1354752,3840,0,0,0,0,1,79,0,156,0,156
1518,Playing,5132288,14547,0,0,0,0,1,231,0,156,0,156
1771,Playing,5152768,14605,0,0,0,0,1,235,175,175,175,175
2025,Playing,5117952,14506,0,0,0,0,1,237,0,175,0,175
2279,Playing,5146624,14587,0,0,0,0,1,241,0,178,0,178
2531,Playing,5139456,14567,0,0,0,0,1,244,0,178,0,178
2784,Playing,5159936,14625,0,0,0,0,1,248,0,178,0,178
3017,Playing,5133312,14550,0,0,0,0,1,250,17,178,17,178
3263,Playing,5153792,14608,0,0,0,0,1,254,0,178,0,178
3511,Playing,5154816,14611,0,0,0,0,1,257,1,178,1,178
3759,Playing,5120000,14512,0,0,0,0,1,259,0,178,0,178
4007,Playing,5112832,14492,0,0,0,0,1,262,95,178,95,178
4257,Playing,5113856,14495,0,0,0,0,1,268,0,178,0,178
4503,Playing,5106688,14474,0,0,0,0,1,271,93,178,93,178
4752,Playing,5154816,14611,0,0,0,0,1,276,14,178,14,178
5000,Playing,5155840,14614,0,0,0,0,1,279,0,178,0,178
5313,Playing,5096448,14445,0,0,0,0,1,281,0,178,0,178
5501,Playing,5113856,14495,0,0,0,0,1,284,0,178,0,178
5750,Playing,5106688,14474,0,0,0,0,1,287,0,178,0,178
6062,Playing,5138432,14564,0,0,0,0,1,292,0,254,0,254
6310,Playing,5075968,14387,0,0,0,0,1,293,95,254,95,254
6557,Playing,5104640,14468,0,0,0,0,1,297,0,254,0,254
6806,Playing,5125120,14526,0,0,0,0,1,301,0,254,0,254
7054,Playing,5090304,14428,0,0,0,0,1,306,0,254,0,254
7301,Playing,5063680,14352,0,0,0,0,1,308,0,254,0,254
7550,Playing,5084160,14410,0,0,0,0,1,312,13,254,13,254
7797,Playing,5104640,14468,0,0,0,0,1,316,0,254,0,254
8046,Playing,5105664,14471,0,0,0,0,1,319,175,254,175,254
8296,Playing,5070848,14373,0,0,0,0,1,321,0,254,0,254
8547,Playing,5091328,14431,0,0,0,0,1,325,0,254,0,254
8795,Playing,5092352,14434,0,0,0,0,1,328,0,254,0,254
9044,Playing,5112832,14492,0,0,0,0,1,332,0,254,0,254
9292,Playing,5050368,14315,0,0,0,0,1,333,94,254,94,254
9542,Playing,5098496,14451,0,0,0,0,1,338,14,254,14,254
9789,Playing,5071872,14376,0,0,0,0,1,343,0,254,0,254
10038,Playing,5037056,14277,0,0,0,0,1,345,0,254,0,254
10286,Playing,5038080,14280,0,0,0,0,1,348,92,254,92,254
10536,Playing,5058560,14338,0,0,0,0,1,352,0,254,0,254
10782,Playing,5051392,14318,0,0,0,0,1,355,95,254,95,254
11029,Playing,5024768,14242,0,0,0,0,1,357,0,254,0,254
11282,Playing,5072896,14378,0,0,0,0,1,362,0,254,0,254
11530,Playing,5065728,14358,0,0,0,0,1,365,0,254,0,254
11782,Playing,5058560,14338,0,0,0,0,1,368,176,254,176,254
12029,Playing,5059584,14341,0,0,0,0,1,371,0,254,0,254
12279,Playing,5052416,14320,0,0,0,0,1,374,0,254,0,254
12525,Playing,5036032,14274,0,0,0,0,1,379,0,254,15,254
12775,Playing,5046272,14303,0,0,0,0,1,383,94,254,94,254
13022,Playing,5011456,14204,0,0,0,0,1,385,0,254,0,254
13270,Playing,5004288,14184,0,0,0,0,1,388,93,254,93,254
13520,Playing,5060608,14344,0,0,0,0,1,393,0,254,0,254
13766,Playing,5053440,14323,0,0,0,0,1,396,0,254,0,254
14016,Playing,5018624,14225,0,0,0,0,1,398,0,254,0,254
14264,Playing,5047296,14306,0,0,0,0,1,402,0,254,0,254
14512,Playing,5040128,14286,0,0,0,0,1,405,15,254,16,254
14761,Playing,5068800,14367,0,0,0,0,1,409,0,254,0,254
15010,Playing,5061632,14347,0,0,0,0,1,412,15,254,15,254
15257,Playing,5045248,14300,0,0,0,0,1,417,0,254,14,254
15506,Playing,5019648,14228,0,0,0,0,1,420,0,254,0,254
15755,Playing,5020672,14230,0,0,0,0,1,423,0,254,0,254
16003,Playing,5041152,14288,0,0,0,0,1,427,0,254,0,254
16253,Playing,5061632,14347,0,0,0,0,1,431,0,254,0,254
16501,Playing,5007360,14193,0,0,0,0,1,432,176,254,176,254
16811,Playing,5058560,14338,0,0,0,0,1,438,17,254,17,254
