t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
54,Off,0,0,0,0,0,0,1,0,0,0,0,0
279,Off,0,0,0,0,0,0,1,0,0,0,0,0
532,Off,0,0,0,0,0,0,1,0,0,0,0,0
784,Off,0,0,0,0,0,0,1,0,0,0,0,0
1036,Off,0,0,0,0,0,0,1,0,0,0,0,0
1289,Off,0,0,0,0,0,0,1,4,0,13,0,0
1542,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
1795,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
2050,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
2251,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
2507,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
2759,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
3034,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
3281,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
3528,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
3778,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
4025,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
4273,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
4521,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
4769,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
5016,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
5266,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
5517,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
5766,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
6015,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
6265,Reconnecting,0,0,0,0,0,0,1,7,0,180,0,0
6513,Reconnecting,0,0,0,0,0,0,2,7,0,180,0,0
6761,Reconnecting,0,0,0,0,0,0,2,7,0,180,0,0
7009,Reconnecting,0,0,0,0,0,0,2,7,0,180,0,0
7257,Reconnecting,0,0,0,0,0,0,2,9,0,180,0,0
7504,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
7752,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
8001,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
8250,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
8500,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
8750,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
9061,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
9309,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
9559,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
9806,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
10054,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
10304,Reconnecting,0,0,0,0,0,0,2,13,0,204,0,0
