t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
51,Off,0,0,0,0,0,0,1,0,0,0,0,0
259,Off,0,0,0,0,0,0,1,0,0,0,0,0
512,Off,0,0,0,0,0,0,1,0,0,0,0,0
765,Off,0,0,0,0,0,0,1,0,0,0,0,0
1017,Off,0,0,0,0,0,0,1,0,0,0,0,0
1270,Off,0,0,0,0,0,0,1,0,0,0,0,0
1523,Off,0,0,0,0,0,0,1,0,0,0,0,0
1775,Off,0,0,0,0,0,0,1,0,0,0,0,0
2029,Off,0,0,0,0,0,0,1,0,0,0,0,0
2281,Off,0,0,0,0,0,0,1,1,0,0,0,0
2535,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
2787,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
3059,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
3306,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
3553,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
3803,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
4050,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
4298,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
4546,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
4794,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
5042,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
5291,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
5542,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
5791,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
6041,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
6291,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
6538,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
6786,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
7034,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
7283,Reconnecting,0,0,0,0,0,0,1,27,0,162,0,0
7529,Reconnecting,0,0,0,0,0,0,2,27,0,162,0,0
7778,Reconnecting,0,0,0,0,0,0,2,27,0,162,0,0
8026,Reconnecting,0,0,0,0,0,0,2,27,0,162,0,0
8275,Reconnecting,0,0,0,0,0,0,2,27,0,162,0,0
8525,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
8775,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
9024,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
9273,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
9520,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
9771,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
10018,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
10267,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
10515,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
10765,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
11011,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
11259,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
11510,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
11759,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
12011,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
12258,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
12508,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
12753,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
13004,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
13251,Reconnecting,0,0,0,0,0,0,2,54,0,162,0,0
13562,Reconnecting,0,0,0,0,0,0,3,54,0,162,0,0
13810,Reconnecting,0,0,0,0,0,0,3,54,0,162,0,0
14057,Reconnecting,0,0,0,0,0,0,3,54,0,162,0,0
14306,Reconnecting,331776,940,0,0,0,0,3,85,0,162,0,164
14555,Playing,1460224,4138,0,0,0,0,3,133,0,162,0,164
14803,Playing,5230592,14825,0,0,0,0,3,285,0,162,0,164
15053,Playing,5168128,14648,0,0,0,0,3,286,152,162,152,164
15301,Playing,5216256,14785,0,0,0,0,3,291,0,173,0,173
15549,Playing,5181440,14686,0,0,0,0,3,293,94,177,94,177
15799,Playing,5210112,14767,0,0,0,0,3,297,95,177,95,177
16045,Playing,5175296,14669,0,0,0,0,3,299,0,177,0,177
16294,Playing,5195776,14727,0,0,0,0,3,303,93,177,93,177
16544,Playing,5196800,14730,0,0,0,0,3,306,93,177,93,177
16792,Playing,5217280,14788,0,0,0,0,3,310,0,177,0,177
17040,Playing,5182464,14689,0,0,0,0,3,312,0,177,0,177
17288,Playing,5211136,14770,0,0,0,0,3,316,0,177,0,177
17538,Playing,5176320,14672,0,0,0,0,3,321,0,177,0,177
17786,Playing,5196800,14730,0,0,0,0,3,325,0,177,0,177
18036,Playing,5197824,14733,0,0,0,0,3,328,97,177,97,177
18284,Playing,5163008,14634,0,0,0,0,3,330,0,177,0,177
18532,Playing,5155840,14614,0,0,0,0,3,333,94,177,94,177
18782,Playing,5203968,14750,0,0,0,0,3,338,0,177,0,177
19029,Playing,5204992,14753,0,0,0,0,3,341,14,177,14,177
19277,Playing,5170176,14654,0,0,0,0,3,343,0,177,0,177
19526,Playing,5198848,14735,0,0,0,0,3,347,0,177,0,177
19775,Playing,5191680,14715,0,0,0,0,3,350,1,177,1,177
20023,Playing,5212160,14773,0,0,0,0,3,354,13,177,14,177
20272,Playing,5149696,14596,0,0,0,0,3,355,178,178,178,178
20520,Playing,5150720,14599,0,0,0,0,3,361,174,178,174,178
20768,Playing,5171200,14657,0,0,0,0,3,365,0,178,0,178
21017,Playing,5191680,14715,0,0,0,0,3,369,0,178,0,178
21266,Playing,5165056,14640,0,0,0,0,3,371,0,178,0,178
21514,Playing,5157888,14619,0,0,0,0,3,374,0,178,0,178
21761,Playing,5158912,14622,0,0,0,0,3,377,0,178,0,178
22007,Playing,5179392,14680,0,0,0,0,3,381,0,178,0,178
22259,Playing,5144576,14582,0,0,0,0,3,383,0,178,0,178
22507,Playing,5145600,14585,0,0,0,0,3,386,175,178,175,178
22756,Playing,5166080,14643,0,0,0,0,3,390,0,178,0,178
23006,Playing,5131264,14544,0,0,0,0,3,392,0,178,0,178
23254,Playing,5096448,14445,0,0,0,0,3,397,94,178,94,178
23503,Playing,5152768,14605,0,0,0,0,3,402,0,178,0,178
23753,Playing,5145600,14585,0,0,0,0,3,405,0,258,0,258
24001,Playing,5138432,14564,0,0,0,0,3,408,93,258,93,258
24250,Playing,5139456,14567,0,0,0,0,3,411,0,258,0,258
24559,Playing,5107712,14477,0,0,0,0,3,414,0,258,0,258
24807,Playing,5108736,14480,0,0,0,0,3,417,94,258,94,258
25058,Playing,5129216,14538,0,0,0,0,3,421,0,258,0,258
25307,Playing,5094400,14439,0,0,0,0,3,423,0,258,0,258
25553,Playing,5123072,14521,0,0,0,0,3,427,1,258,1,258
25802,Playing,5115904,14500,0,0,0,0,3,430,0,258,0,258
26050,Playing,5108736,14480,0,0,0,0,3,436,0,258,0,258
26299,Playing,5109760,14483,0,0,0,0,3,439,0,258,0,258
26549,Playing,5074944,14384,0,0,0,0,3,441,0,258,0,258
26798,Playing,5067776,14364,0,0,0,0,3,444,96,258,96,258
27046,Playing,5096448,14445,0,0,0,0,3,448,95,258,95,258
27294,Playing,5116928,14503,0,0,0,0,3,452,0,258,0,258
27544,Playing,5137408,14561,0,0,0,0,3,456,0,258,0,258
27792,Playing,5083136,14407,0,0,0,0,3,457,175,258,175,258
28041,Playing,5103616,14466,0,0,0,0,3,461,0,258,0,258
28291,Playing,5096448,14445,0,0,0,0,3,464,94,258,94,258
28539,Playing,5097472,14448,0,0,0,0,3,467,0,258,0,258
28786,Playing,5117952,14506,0,0,0,0,3,474,0,258,0,258
29035,Playing,5055488,14329,0,0,0,0,3,475,176,258,176,258
29281,Playing,5084160,14410,0,0,0,0,3,479,95,258,95,258
29528,Playing,5104640,14468,0,0,0,0,3,483,0,258,0,258
29775,Playing,5078016,14393,0,0,0,0,3,485,95,258,95,258
30022,Playing,5098496,14451,0,0,0,0,3,489,0,258,0,258
30272,Playing,5091328,14431,0,0,0,0,3,492,0,258,0,258
30521,Playing,5092352,14434,0,0,0,0,3,495,93,258,93,258
30769,Playing,5085184,14413,0,0,0,0,3,498,0,258,0,258
31017,Playing,5078016,14393,0,0,0,0,3,501,0,258,0,258
31266,Playing,5106688,14474,0,0,0,0,3,505,0,258,0,258
31515,Playing,5090304,14428,0,0,0,0,3,511,0,258,0,258
31767,Playing,5027840,14251,0,0,0,0,3,512,175,258,175,258
32017,Playing,5048320,14309,0,0,0,0,3,516,0,258,0,258
32265,Playing,5076992,14390,0,0,0,0,3,520,0,258,0,258
32514,Playing,5069824,14370,0,0,0,0,3,523,0,258,0,258
32762,Playing,5043200,14294,0,0,0,0,3,525,0,258,0,258
33012,Playing,5036032,14274,0,0,0,0,3,528,177,258,177,258
33262,Playing,5056512,14332,0,0,0,0,3,532,93,258,93,258
33512,Playing,5076992,14390,0,0,0,0,3,536,0,258,0,258
33761,Playing,5078016,14393,0,0,0,0,3,539,0,258,0,258
34009,Playing,5015552,14216,0,0,0,0,3,540,14,258,14,258
34258,Playing,5045248,14300,0,0,0,0,3,547,0,336,15,336
34508,Playing,5055488,14329,0,0,0,0,3,551,14,336,14,336
34757,Playing,5020672,14230,0,0,0,0,3,553,0,336,0,336
35003,Playing,4994048,14155,0,0,0,0,3,555,174,336,174,336
35252,Playing,5014528,14213,0,0,0,0,3,559,173,336,173,336
35501,Playing,5007360,14193,0,0,0,0,3,562,0,336,0,336
35751,Playing,5000192,14172,0,0,0,0,3,565,0,336,0,336
36001,Playing,5001216,14175,0,0,0,0,3,568,174,336,174,336
36311,Playing,5024768,14242,0,0,0,0,3,573,1,336,1,336
36558,Playing,5025792,14245,0,0,0,0,3,576,0,336,0,336
36808,Playing,5018624,14225,0,0,0,0,3,579,95,336,95,336
37057,Playing,5020672,14230,0,0,0,0,3,583,0,336,0,336
37307,Playing,4975616,14103,0,0,0,0,3,587,0,336,0,336
37555,Playing,4968448,14082,0,0,0,0,3,590,175,336,175,336
37804,Playing,4988928,14140,0,0,0,0,3,594,0,336,0,336
38054,Playing,4962304,14065,0,0,0,0,3,596,0,336,0,336
38302,Playing,4982784,14123,0,0,0,0,3,600,0,336,0,336
38551,Playing,4975616,14103,0,0,0,0,3,603,0,336,0,336
38800,Playing,5004288,14184,0,0,0,0,3,607,0,336,0,336
39047,Playing,4997120,14164,0,0,0,0,3,610,94,336,94,336
39296,Playing,4962304,14065,0,0,0,0,3,612,0,336,0,336
39547,Playing,4990976,14146,0,0,0,0,3,616,0,336,0,336
39795,Playing,5011456,14204,0,0,0,0,3,620,0,336,0,336
40044,Playing,4921344,13949,0,0,0,0,3,623,0,336,13,336
40294,Playing,4941824,14007,0,0,0,0,3,627,0,336,0,336
40542,Playing,4970496,14088,0,0,0,0,3,631,0,336,0,336
40792,Playing,4963328,14068,0,0,0,0,3,634,0,336,0,336
41038,Playing,4956160,14048,0,0,0,0,3,637,95,336,95,336
41286,Playing,4957184,14050,0,0,0,0,3,640,0,336,0,336
41534,Playing,4950016,14030,0,0,0,0,3,643,95,336,95,336
41782,Playing,4978688,14111,0,0,0,0,3,647,0,336,0,336
42030,Playing,4971520,14091,0,0,0,0,3,650,94,336,94,336
42278,Playing,4936704,13992,0,0,0,0,3,652,0,336,0,336
42527,Playing,4965376,14074,0,0,0,0,3,656,0,336,0,336
42776,Playing,4958208,14053,0,0,0,0,3,662,0,336,0,336
43026,Playing,4951040,14033,0,0,0,0,3,665,0,336,0,336
43274,Playing,4888576,13856,0,0,0,0,3,666,173,336,173,336
43522,Playing,4944896,14016,0,0,0,0,3,671,0,336,0,336
43771,Playing,4937728,13995,0,0,0,0,3,674,0,336,0,336
44020,Playing,4958208,14053,0,0,0,0,3,678,0,336,0,336
44268,Playing,4903936,13900,0,0,0,0,3,679,175,336,175,336
44516,Playing,4924416,13958,0,0,0,0,3,683,0,336,0,336
44763,Playing,4917248,13937,0,0,0,0,3,686,174,336,174,336
45012,Playing,4973568,14097,0,0,0,0,3,691,0,336,0,336
45262,Playing,4911104,13920,0,0,0,0,3,692,175,336,175,336
45511,Playing,4931584,13978,0,0,0,0,3,696,0,336,0,336
45759,Playing,4904960,13902,0,0,0,0,3,701,175,336,175,336
46010,Playing,4925440,13960,0,0,0,0,3,705,0,336,0,336
46258,Playing,4890624,13862,0,0,0,0,3,707,0,336,0,336
46507,Playing,4891648,13865,0,0,0,0,3,710,175,336,175,336
46757,Playing,4912128,13923,0,0,0,0,3,714,175,336,175,336
47006,Playing,4932608,13981,0,0,0,0,3,718,0,336,0,336
47252,Playing,4878336,13827,0,0,0,0,3,719,175,336,175,336
47500,Playing,4898816,13885,0,0,0,0,3,723,0,336,0,336
47810,Playing,4902912,13897,0,0,0,0,3,727,0,336,0,336
48058,Playing,4895744,13876,0,0,0,0,3,730,96,336,96,336
48308,Playing,4907008,13908,0,0,0,0,3,736,0,336,13,336
48556,Playing,4917248,13937,0,0,0,0,3,740,0,336,0,336
48805,Playing,4854784,13760,0,0,0,0,3,741,173,336,173,336
49053,Playing,4875264,13818,0,0,0,0,3,745,0,336,0,336
49301,Playing,4903936,13900,0,0,0,0,3,749,0,336,0,336
49549,Playing,4896768,13879,0,0,0,0,3,752,93,336,93,336
49799,Playing,4861952,13781,0,0,0,0,3,754,0,336,0,336
