t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
264,Off,0,0,0,0,0,0,1,0,0,0,0,0
516,Off,92160,261,0,0,0,0,1,4,0,118,118,118
768,Off,1050624,2977,0,0,0,0,1,11,0,118,0,118
1020,Off,1234944,3500,0,0,0,0,1,13,0,282,0,283
1273,Off,1234944,3500,0,0,0,0,1,13,0,282,0,283
1526,Off,1234944,3500,0,0,0,0,1,13,0,282,0,283
1780,Playing,1430528,4054,0,0,0,0,1,15,0,800,0,800
2034,Playing,1340416,3799,0,0,0,0,1,15,0,800,0,800
2287,Playing,1250304,3543,0,0,0,0,1,15,0,800,0,800
2542,Playing,1289216,3654,0,0,0,0,1,17,0,800,0,800
2794,Playing,1199104,3398,0,0,0,0,1,17,0,800,0,800
3018,Playing,1125376,3189,0,0,0,0,1,17,0,800,0,800
3265,Playing,1265664,3587,0,0,0,0,1,19,0,800,0,800
3512,Playing,1175552,3332,0,0,0,0,1,19,0,800,0,800
3762,Playing,1093632,3099,0,0,0,0,1,19,0,800,0,800
4009,Playing,1206272,3419,0,0,0,0,1,21,0,800,0,800
4256,Playing,1116160,3163,0,0,0,0,1,21,0,800,0,800
4505,Playing,1034240,2931,0,0,0,0,1,21,0,800,0,800
4753,Playing,1156096,3276,0,0,0,0,1,23,0,800,0,800
5001,Playing,1065984,3021,0,0,0,0,1,23,0,800,0,800
5250,Playing,1196032,3390,0,0,0,0,1,25,0,800,0,800
5501,Playing,1105920,3134,0,0,0,0,1,25,0,800,0,800
5750,Playing,1015808,2879,0,0,0,0,1,25,0,800,0,800
6000,Playing,1110016,3146,0,0,0,0,1,27,0,800,0,800
6250,Playing,1028096,2914,0,0,0,0,1,27,0,800,0,800
6559,Playing,913408,2589,0,0,0,0,1,27,0,800,0,800
6808,Playing,831488,2356,0,0,0,0,1,27,0,800,0,800
7056,Playing,971776,2754,0,0,0,0,1,29,0,1001,0,1002
7303,Playing,881664,2499,0,0,0,0,1,29,0,1001,0,1002
7550,Playing,984064,2789,0,0,0,0,1,31,0,1001,0,1002
7799,Playing,893952,2533,0,0,0,0,1,31,0,1001,0,1002
8048,Playing,803840,2278,0,0,0,0,1,31,0,1001,0,1002
8297,Playing,933888,2647,0,0,0,0,1,33,0,1001,0,1002
8547,Playing,843776,2391,0,0,0,0,1,33,0,1001,0,1002
8796,Playing,753664,2136,0,0,0,0,1,33,0,1001,0,1002
