t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
253,Off,0,0,0,0,0,0,1,0,0,0,0,0
507,Off,0,0,0,0,0,0,1,0,0,0,0,0
760,Off,0,0,0,0,0,0,1,0,0,0,0,0
1013,Off,0,0,0,0,0,0,1,0,0,0,0,0
1265,Off,0,0,0,0,0,0,1,0,0,0,0,0
1519,Off,0,0,0,0,0,0,1,0,0,0,0,0
1771,Off,0,0,0,0,0,0,1,0,0,0,0,0
2024,Off,0,0,0,0,0,0,1,3,0,395,0,0
2278,Off,0,0,0,0,0,0,1,4,151,395,0,0
2531,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
2783,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
3002,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
3312,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
3560,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
3809,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
4055,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
4304,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
4553,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
4802,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
5053,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
5303,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
5552,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
5801,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
6048,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
6297,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
6545,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
6791,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
7040,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
7289,Reconnecting,0,0,0,0,0,0,1,10,10,395,0,0
7537,Reconnecting,0,0,0,0,0,0,2,10,10,395,0,0
7786,Reconnecting,0,0,0,0,0,0,2,10,10,395,0,0
8037,Reconnecting,0,0,0,0,0,0,2,10,10,395,0,0
8286,Reconnecting,0,0,0,0,0,0,2,10,10,395,0,0
8535,Reconnecting,0,0,0,0,0,0,2,13,0,395,0,0
8782,Reconnecting,0,0,0,0,0,0,2,14,166,395,0,0
9032,Reconnecting,0,0,0,0,0,0,2,32,11,395,11,808
9279,Reconnecting,0,0,0,0,0,0,2,54,4,395,4,808
