t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
259,Off,0,0,0,0,0,0,1,0,0,0,0,0
513,Off,0,0,0,0,0,0,1,0,0,0,0,0
766,Off,0,0,0,0,0,0,1,0,0,0,0,0
1019,Off,129024,365,0,0,0,0,1,34,0,83,0,83
1273,Off,617472,1750,0,0,0,0,1,137,0,83,0,83
1528,Playing,1619968,4591,0,0,0,0,1,296,0,83,0,83
1781,Playing,1539072,4362,0,0,0,0,1,302,0,188,0,188
2032,Playing,1466368,4156,0,0,0,0,1,314,4,192,4,192
2286,Playing,1376256,3900,0,0,0,0,1,321,2,192,2,192
2539,Playing,1286144,3645,0,0,0,0,1,325,5,192,5,192
2792,Playing,1205248,3416,0,0,0,0,1,331,4,196,4,196
3061,Playing,1124352,3186,0,0,0,0,1,342,0,196,0,196
3310,Playing,1034240,2931,0,0,0,0,1,347,4,196,4,196
3556,Playing,953344,2702,0,0,0,0,1,354,3,196,3,196
3803,Playing,871424,2470,0,0,0,0,1,363,0,196,0,196
4053,Playing,790528,2240,0,0,0,0,1,366,0,196,0,196
4300,Playing,700416,1985,0,0,0,0,1,376,0,351,0,351
4550,Playing,646144,1831,0,0,0,0,1,381,0,351,0,351
4796,Playing,556032,1576,0,0,0,0,1,381,0,351,0,351
5045,Playing,502784,1425,0,0,0,0,1,390,0,373,0,373
5293,Playing,448512,1271,0,0,0,0,1,402,0,373,0,373
5543,Playing,376832,1068,0,0,0,0,1,406,0,373,0,373
5794,Playing,286720,812,0,0,0,0,1,413,4,373,4,373
6043,Playing,205824,583,0,0,0,0,1,426,0,373,0,373
6294,Playing,124928,354,0,0,0,0,1,432,0,373,0,373
6541,Playing,52224,148,0,0,0,0,1,438,0,373,0,373
6787,Playing,0,0,0,0,0,0,1,444,0,373,0,373
7037,Buffering,0,0,1,0,0,0,1,455,0,373,0,373
7285,Buffering,0,0,1,0,0,0,1,463,5,373,5,373
7531,Buffering,0,0,1,0,0,0,1,470,4,373,4,373
7781,Buffering,9216,26,1,0,0,0,1,474,4,373,4,373
8029,Buffering,9216,26,1,0,0,0,1,483,0,373,0,373
8277,Buffering,27648,78,1,0,0,0,1,491,4,373,4,373
8526,Buffering,36864,104,1,0,0,0,1,497,4,373,4,373
8777,Buffering,46080,130,1,0,0,0,1,503,0,373,0,373
9026,Buffering,64512,182,1,0,0,0,1,514,4,373,4,373
9275,Buffering,64512,182,1,0,0,0,1,521,4,373,4,373
9523,Buffering,64512,182,1,0,0,0,1,526,0,373,0,373
9773,Buffering,64512,182,1,0,0,0,1,533,5,373,5,373
10020,Buffering,82944,235,1,0,0,0,1,546,0,373,0,373
10268,Buffering,92160,261,1,0,0,0,1,553,0,373,0,373
10517,Buffering,92160,261,1,0,0,0,1,559,0,373,0,373
10767,Buffering,92160,261,1,0,0,0,1,564,3,373,3,373
11014,Buffering,110592,313,1,0,0,0,1,576,0,373,0,373
11262,Buffering,110592,313,1,0,0,0,1,581,3,373,3,373
11512,Buffering,119808,339,1,0,0,0,1,587,0,373,0,373
11761,Buffering,138240,391,1,0,0,0,1,593,0,373,0,373
12011,Playing,82944,235,1,1,0,0,1,601,2,373,2,373
12260,Playing,20480,58,1,1,0,0,1,610,0,373,0,373
12510,Buffering,0,0,2,1,0,0,1,615,4,373,4,373
12757,Buffering,0,0,2,1,0,0,1,622,30,373,30,373
13007,Buffering,0,0,2,1,0,0,1,633,0,373,0,373
13254,Buffering,0,0,2,1,0,0,1,641,3,373,3,373
13501,Buffering,0,0,2,1,0,0,1,648,3,373,3,373
13752,Buffering,9216,26,2,1,0,0,1,654,0,373,0,373
14059,Buffering,9216,26,2,1,0,0,1,666,3,373,3,373
14309,Buffering,9216,26,2,1,0,0,1,672,4,373,4,373
14557,Buffering,18432,52,2,1,0,0,1,678,0,373,0,373
14806,Buffering,18432,52,2,1,0,0,1,685,0,373,0,373
15054,Buffering,46080,130,2,1,0,0,1,694,0,373,0,373
15303,Buffering,64512,182,2,1,0,0,1,698,13,373,13,373
15551,Buffering,64512,182,2,1,0,0,1,704,0,373,0,373
15799,Buffering,64512,182,2,1,0,0,1,711,0,373,0,373
16048,Buffering,92160,261,2,1,0,0,1,721,0,373,0,373
16296,Buffering,92160,261,2,1,0,0,1,727,0,373,0,373
16546,Buffering,92160,261,2,1,0,0,1,731,4,373,4,373
16794,Buffering,101376,287,2,1,0,0,1,737,3,373,3,373
17042,Buffering,119808,339,2,1,0,0,1,749,0,373,0,373
17289,Buffering,129024,365,2,1,0,0,1,755,0,373,0,373
17539,Playing,89088,252,2,2,0,0,1,761,0,373,0,373
17788,Playing,7168,20,2,2,0,0,1,766,4,373,4,373
18037,Buffering,18432,52,3,2,0,0,1,778,0,373,0,373
18286,Buffering,18432,52,3,2,0,0,1,784,5,373,5,373
18535,Buffering,27648,78,3,2,0,0,1,790,3,373,3,373
18784,Buffering,36864,104,3,2,0,0,1,796,0,373,0,373
19031,Buffering,36864,104,3,2,0,0,1,808,0,373,0,373
19280,Buffering,36864,104,3,2,0,0,1,814,0,373,0,373
19526,Buffering,36864,104,3,2,0,0,1,819,4,373,4,373
19777,Buffering,36864,104,3,2,0,0,1,825,0,373,0,373
20025,Buffering,36864,104,3,2,0,0,1,837,0,373,0,373
20273,Buffering,46080,130,3,2,0,0,1,841,0,373,0,373
20523,Buffering,55296,156,3,2,0,0,1,847,0,373,0,373
20771,Buffering,64512,182,3,2,0,0,1,854,0,373,0,373
21019,Buffering,82944,235,3,2,0,0,1,864,12,373,12,373
21267,Buffering,92160,261,3,2,0,0,1,870,0,373,0,373
21516,Buffering,92160,261,3,2,0,0,1,877,14,373,14,373
21765,Buffering,92160,261,3,2,0,0,1,882,0,373,0,373
22011,Buffering,92160,261,3,2,0,0,1,891,0,373,0,373
22261,Buffering,119808,339,3,2,0,0,1,898,4,373,4,373
22509,Buffering,147456,417,3,2,0,0,1,903,0,373,0,373
22757,Buffering,147456,417,3,2,0,0,1,909,0,373,0,373
23008,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
23256,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
23505,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
23753,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
24002,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
24253,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
24561,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
24810,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
25060,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
25309,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
25555,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
25804,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
26053,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
26301,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
26550,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
26798,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
27048,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
27296,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
27546,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
27795,Reconnecting,0,0,3,3,0,0,1,913,14,373,14,373
28043,Reconnecting,0,0,3,3,0,0,2,913,14,373,14,373
28292,Reconnecting,0,0,3,3,0,0,2,913,14,373,14,373
28540,Reconnecting,0,0,3,3,0,0,2,927,0,373,0,373
28788,Reconnecting,442368,1253,3,3,0,0,2,996,0,373,0,373
29036,Playing,1735680,4919,3,3,0,0,2,1191,0,373,0,373
29285,Playing,1664000,4716,3,3,0,0,2,1195,1,373,1,373
29531,Playing,1583104,4487,3,3,0,0,2,1201,0,373,0,373
29777,Playing,1501184,4255,3,3,0,0,2,1207,0,373,0,373
30024,Playing,1429504,4051,3,3,0,0,2,1217,0,373,0,373
30273,Playing,1357824,3848,3,3,0,0,2,1222,0,373,0,373
30523,Playing,1275904,3616,3,3,0,0,2,1226,0,373,0,373
30772,Playing,1195008,3387,3,3,0,0,2,1232,0,373,0,373
31019,Playing,1114112,3157,3,3,0,0,2,1239,162,373,162,373
31268,Playing,1050624,2977,3,3,0,0,2,1247,0,373,0,373
31518,Playing,978944,2774,3,3,0,0,2,1252,0,373,0,373
31767,Playing,898048,2545,3,3,0,0,2,1256,0,373,0,373
32019,Playing,825344,2339,3,3,0,0,2,1260,0,373,0,373
