t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
256,Off,0,0,0,0,0,0,1,0,0,0,0,0
516,Off,0,0,0,0,0,0,1,0,0,0,0,0
770,Off,0,0,0,0,0,0,1,0,0,0,0,0
1023,Off,1400832,3970,0,0,0,0,1,13,0,110,0,110
1275,Playing,2480128,7029,0,0,0,0,1,21,0,110,0,110
1527,Playing,2390016,6774,0,0,0,0,1,21,0,110,0,110
1781,Playing,2299904,6519,0,0,0,0,1,21,0,110,0,110
2033,Playing,2209792,6263,0,0,0,0,1,21,0,110,0,110
2287,Playing,2433024,6896,0,0,0,0,1,23,0,992,0,992
2541,Playing,2342912,6640,0,0,0,0,1,23,0,992,0,992
2795,Playing,2260992,6408,0,0,0,0,1,23,0,992,0,992
3020,Playing,2179072,6176,0,0,0,0,1,23,0,992,0,992
3269,Playing,2365440,6704,0,0,0,0,1,25,0,1190,0,1190
3517,Playing,2275328,6449,0,0,0,0,1,25,0,1190,0,1190
3767,Playing,2193408,6217,0,0,0,0,1,25,0,1190,0,1190
4013,Playing,2103296,5961,0,0,0,0,1,25,0,1190,0,1190
4261,Playing,2233344,6330,0,0,0,0,1,27,0,1190,0,1190
4510,Playing,2143232,6074,0,0,0,0,1,27,0,1190,0,1190
4760,Playing,2053120,5819,0,0,0,0,1,27,0,1190,0,1190
5010,Playing,1963008,5564,0,0,0,0,1,27,0,1190,0,1190
5259,Playing,2111488,5984,0,0,0,0,1,29,0,1190,0,1190
5511,Playing,2021376,5729,0,0,0,0,1,29,0,1190,0,1190
5758,Playing,1931264,5474,0,0,0,0,1,29,0,1190,0,1190
6005,Playing,1849344,5241,0,0,0,0,1,29,0,1190,0,1190
6254,Playing,1759232,4986,0,0,0,0,1,29,0,1190,0,1190
6502,Playing,1908736,5410,0,0,0,0,1,31,0,1190,0,1190
6810,Playing,1802240,5108,0,0,0,0,1,31,0,1190,0,1190
7060,Playing,1712128,4852,0,0,0,0,1,31,0,1190,0,1190
7308,Playing,1888256,5352,0,0,0,0,1,33,0,1190,0,1190
7556,Playing,1798144,5096,0,0,0,0,1,33,0,1190,0,1190
7805,Playing,1708032,4841,0,0,0,0,1,33,0,1190,0,1190
8056,Playing,1617920,4585,0,0,0,0,1,33,0,1190,0,1190
8305,Playing,1536000,4353,0,0,0,0,1,33,0,1190,0,1190
8554,Playing,1694720,4803,0,0,0,0,1,35,0,1190,0,1190
8802,Playing,1604608,4548,0,0,0,0,1,35,0,1190,0,1190
9051,Playing,1522688,4316,0,0,0,0,1,35,0,1190,0,1190
9299,Playing,1681408,4765,0,0,0,0,1,37,0,1190,0,1190
9547,Playing,1591296,4510,0,0,0,0,1,37,0,1190,0,1190
9796,Playing,1509376,4278,0,0,0,0,1,37,0,1190,0,1190
10046,Playing,1419264,4022,0,0,0,0,1,37,0,1190,0,1190
10293,Playing,1614848,4577,0,0,0,0,1,39,0,1190,0,1190
10541,Playing,1532928,4345,0,0,0,0,1,39,0,1190,0,1190
10791,Playing,1442816,4089,0,0,0,0,1,39,0,1190,0,1190
11039,Playing,1352704,3834,0,0,0,0,1,39,0,1190,0,1190
11289,Playing,1262592,3578,0,0,0,0,1,39,0,1190,0,1190
11539,Playing,1457152,4130,0,0,0,0,1,41,0,1190,0,1190
11789,Playing,1367040,3874,0,0,0,0,1,41,0,1190,0,1190
12036,Playing,1276928,3619,0,0,0,0,1,41,0,1190,0,1190
12286,Playing,1195008,3387,0,0,0,0,1,41,0,1190,0,1190
12532,Playing,1409024,3993,0,0,0,0,1,43,0,1190,0,1190
12780,Playing,1327104,3761,0,0,0,0,1,43,0,1190,0,1190
13031,Playing,1236992,3506,0,0,0,0,1,43,0,1190,0,1190
13276,Playing,1146880,3250,0,0,0,0,1,43,0,1190,0,1190
13525,Playing,1350656,3828,0,0,0,0,1,45,0,1190,0,1190
13774,Playing,1260544,3572,0,0,0,0,1,45,0,1190,0,1190
