t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
254,Off,0,0,0,0,0,0,1,0,0,0,0,0
509,Off,0,0,0,0,0,0,1,0,0,0,0,0
762,Off,0,0,0,0,0,0,1,0,0,0,0,0
1015,Off,0,0,0,0,0,0,1,5,0,0,0,0
1268,Playing,1861632,5276,0,0,0,0,1,79,0,162,0,162
1521,Playing,2711552,7685,0,0,0,0,1,116,0,162,0,162
1775,Playing,5588992,15841,0,0,0,0,1,233,95,162,95,162
2028,Playing,5554176,15743,0,0,0,0,1,235,0,176,0,177
2282,Playing,5547008,15722,0,0,0,0,1,238,174,176,175,177
2535,Playing,5595136,15859,0,0,0,0,1,243,0,179,0,179
2789,Playing,5587968,15838,0,0,0,0,1,246,2,179,2,179
3004,Playing,5569536,15786,0,0,0,0,1,248,0,179,0,179
3253,Playing,5562368,15766,0,0,0,0,1,251,0,179,0,179
3502,Playing,5591040,15847,0,0,0,0,1,255,0,179,0,179
3752,Playing,5556224,15748,0,0,0,0,1,257,0,179,0,179
4003,Playing,5576704,15806,0,0,0,0,1,261,0,179,0,179
4253,Playing,5550080,15731,0,0,0,0,1,266,0,179,13,179
4500,Playing,5570560,15789,0,0,0,0,1,270,0,179,0,179
4812,Playing,5547008,15722,0,0,0,0,1,273,0,179,0,179
5059,Playing,5567488,15780,0,0,0,0,1,277,0,179,0,179
5308,Playing,5560320,15760,0,0,0,0,1,280,95,179,95,179
5559,Playing,5553152,15740,0,0,0,0,1,283,0,179,0,179
5808,Playing,5554176,15743,0,0,0,0,1,286,0,179,0,179
6055,Playing,5574656,15801,0,0,0,0,1,290,0,179,0,179
6301,Playing,5603328,15882,0,0,0,0,1,294,0,179,0,179
6546,Playing,5540864,15705,0,0,0,0,1,295,176,179,176,179
6794,Playing,5561344,15763,0,0,0,0,1,299,0,179,0,179
7040,Playing,5562368,15766,0,0,0,0,1,305,0,179,0,179
7287,Playing,5499904,15589,0,0,0,0,1,306,176,179,176,179
7537,Playing,5520384,15647,0,0,0,0,1,310,0,179,0,179
7788,Playing,5521408,15650,0,0,0,0,1,313,0,179,0,179
8035,Playing,5541888,15708,0,0,0,0,1,317,92,179,92,179
8284,Playing,5507072,15609,0,0,0,0,1,319,1,179,1,179
8534,Playing,5508096,15612,0,0,0,0,1,322,0,179,0,179
8789,Playing,5556224,15748,0,0,0,0,1,327,0,179,0,179
9035,Playing,5466112,15493,0,0,0,0,1,327,0,179,0,179
9283,Playing,5522432,15653,0,0,0,0,1,332,0,332,0,332
9532,Playing,5542912,15711,0,0,0,0,1,336,2,332,2,332
9781,Playing,5526528,15664,0,0,0,0,1,341,0,332,2,332
10035,Playing,5473280,15513,0,0,0,0,1,343,0,332,0,332
10284,Playing,5501952,15595,0,0,0,0,1,347,0,332,0,332
10535,Playing,5467136,15496,0,0,0,0,1,349,95,332,95,332
10784,Playing,5515264,15632,0,0,0,0,1,354,17,332,17,332
11034,Playing,5508096,15612,0,0,0,0,1,357,1,332,1,332
11284,Playing,5481472,15537,0,0,0,0,1,359,0,332,0,332
11535,Playing,5501952,15595,0,0,0,0,1,363,0,332,0,332
11785,Playing,5522432,15653,0,0,0,0,1,367,0,332,0,332
12034,Playing,5487616,15554,0,0,0,0,1,369,91,332,92,332
12282,Playing,5488640,15557,0,0,0,0,1,372,0,332,0,332
12531,Playing,5481472,15537,0,0,0,0,1,375,94,332,94,332
12777,Playing,5474304,15516,0,0,0,0,1,381,97,332,97,332
13027,Playing,5502976,15598,0,0,0,0,1,385,0,332,0,332
13279,Playing,5440512,15420,0,0,0,0,1,386,176,332,176,332
13531,Playing,5460992,15479,0,0,0,0,1,390,175,332,175,332
13781,Playing,5481472,15537,0,0,0,0,1,394,0,332,0,332
14031,Playing,5482496,15539,0,0,0,0,1,397,0,332,0,332
14279,Playing,5475328,15519,0,0,0,0,1,400,0,332,0,332
14527,Playing,5468160,15499,0,0,0,0,1,403,0,332,0,332
14778,Playing,5496832,15580,0,0,0,0,1,407,0,332,0,332
15027,Playing,5489664,15560,0,0,0,0,1,410,93,332,93,332
15277,Playing,5454848,15461,0,0,0,0,1,412,94,332,94,332
15530,Playing,5447680,15441,0,0,0,0,1,418,0,332,0,332
15780,Playing,5476352,15522,0,0,0,0,1,422,0,332,0,332
16027,Playing,5441536,15423,0,0,0,0,1,424,174,332,175,332
16276,Playing,5434368,15403,0,0,0,0,1,427,0,332,0,332
16525,Playing,5463040,15484,0,0,0,0,1,431,0,332,0,332
16773,Playing,5428224,15386,0,0,0,0,1,433,175,332,175,332
17024,Playing,5448704,15444,0,0,0,0,1,437,91,332,92,332
17270,Playing,5422080,15368,0,0,0,0,1,439,0,332,0,332
17518,Playing,5442560,15426,0,0,0,0,1,443,0,332,0,332
17767,Playing,5463040,15484,0,0,0,0,1,447,0,332,0,332
18016,Playing,5464064,15487,0,0,0,0,1,450,0,332,0,332
18266,Playing,5429248,15389,0,0,0,0,1,452,0,332,0,332
18516,Playing,5412864,15342,0,0,0,0,1,458,0,332,0,332
18767,Playing,5405696,15322,0,0,0,0,1,461,0,332,0,332
19015,Playing,5434368,15403,0,0,0,0,1,465,0,332,0,332
19264,Playing,5399552,15304,0,0,0,0,1,467,0,332,0,332
19515,Playing,5392384,15284,0,0,0,0,1,470,0,332,0,332
19764,Playing,5393408,15287,0,0,0,0,1,473,172,332,172,332
20013,Playing,5441536,15423,0,0,0,0,1,478,0,332,0,332
20264,Playing,5406720,15325,0,0,0,0,1,480,95,332,96,332
20514,Playing,5399552,15304,0,0,0,0,1,483,0,332,0,332
20763,Playing,5428224,15386,0,0,0,0,1,487,0,332,0,332
21010,Playing,5421056,15365,0,0,0,0,1,490,0,332,0,332
21262,Playing,5349376,15162,0,0,0,0,1,494,0,332,0,332
21512,Playing,5350400,15165,0,0,0,0,1,497,0,332,0,332
21762,Playing,5370880,15223,0,0,0,0,1,501,0,332,0,332
22012,Playing,5363712,15203,0,0,0,0,1,504,171,332,171,332
22261,Playing,5411840,15339,0,0,0,0,1,509,0,332,0,332
22511,Playing,5357568,15185,0,0,0,0,1,510,174,332,174,332
22760,Playing,5350400,15165,0,0,0,0,1,513,177,332,177,332
23007,Playing,5370880,15223,0,0,0,0,1,517,175,332,175,332
23257,Playing,5371904,15226,0,0,0,0,1,520,174,332,174,332
23506,Playing,5364736,15206,0,0,0,0,1,523,0,332,0,332
23755,Playing,5357568,15185,0,0,0,0,1,526,178,332,178,332
24006,Playing,5341184,15139,0,0,0,0,1,532,1,332,1,332
24254,Playing,5369856,15220,0,0,0,0,1,536,0,332,0,332
24504,Playing,5307392,15043,0,0,0,0,1,537,95,332,95,332
24752,Playing,5327872,15101,0,0,0,0,1,541,0,332,0,332
25003,Playing,5356544,15182,0,0,0,0,1,545,0,332,0,332
25252,Playing,5349376,15162,0,0,0,0,1,548,0,332,0,332
25501,Playing,5314560,15063,0,0,0,0,1,550,0,332,0,332
25751,Playing,5335040,15121,0,0,0,0,1,554,0,332,0,332
26001,Playing,5336064,15124,0,0,0,0,1,557,0,332,0,332
26251,Playing,5356544,15182,0,0,0,0,1,561,0,332,0,332
26500,Playing,5377024,15240,0,0,0,0,1,565,0,332,0,332
26810,Playing,5325824,15095,0,0,0,0,1,570,0,332,0,332
27060,Playing,5291008,14997,0,0,0,0,1,572,14,332,14,332
27311,Playing,5319680,15078,0,0,0,0,1,576,0,332,0,332
27561,Playing,5312512,15058,0,0,0,0,1,579,0,332,0,332
27812,Playing,5305344,15037,0,0,0,0,1,582,175,332,176,332
28000,Playing,5295104,15008,0,0,0,0,1,584,1,332,2,332
28253,Playing,5315584,15066,0,0,0,0,1,588,97,332,97,332
28563,Playing,5319680,15078,0,0,0,0,1,592,0,332,0,332
28751,Playing,5281792,14971,0,0,0,0,1,593,89,332,89,332
29002,Playing,5302272,15029,0,0,0,0,1,597,98,332,98,332
29312,Playing,5306368,15040,0,0,0,0,1,601,0,332,0,332
29561,Playing,5299200,15020,0,0,0,0,1,604,0,332,0,332
29810,Playing,5292032,15000,0,0,0,0,1,610,177,332,178,332
30060,Playing,5265408,14924,0,0,0,0,1,612,0,332,0,332
30311,Playing,5258240,14904,0,0,0,0,1,615,96,332,96,332
30561,Playing,5278720,14962,0,0,0,0,1,619,0,332,0,332
30810,Playing,5299200,15020,0,0,0,0,1,623,0,332,0,332
31058,Playing,5300224,15023,0,0,0,0,1,626,0,332,0,332
31306,Playing,5265408,14924,0,0,0,0,1,628,0,332,0,332
31555,Playing,5294080,15005,0,0,0,0,1,632,0,332,0,332
31807,Playing,5286912,14985,0,0,0,0,1,635,0,332,0,332
32056,Playing,5307392,15043,0,0,0,0,1,639,0,332,0,332
32304,Playing,5272576,14944,0,0,0,0,1,641,0,332,0,332
32554,Playing,5245952,14869,0,0,0,0,1,646,95,332,95,332
32801,Playing,5266432,14927,0,0,0,0,1,650,15,332,15,332
33049,Playing,5286912,14985,0,0,0,0,1,654,0,332,0,332
33296,Playing,5232640,14831,0,0,0,0,1,655,175,332,175,332
33546,Playing,5280768,14968,0,0,0,0,1,660,0,332,0,332
33793,Playing,5273600,14947,0,0,0,0,1,663,0,332,0,332
34043,Playing,5274624,14950,0,0,0,0,1,666,94,332,94,332
34291,Playing,5295104,15008,0,0,0,0,1,670,13,332,13,332
34542,Playing,5287936,14988,0,0,0,0,1,673,0,332,0,332
34791,Playing,5253120,14889,0,0,0,0,1,675,177,332,177,332
35040,Playing,5281792,14971,0,0,0,0,1,679,0,332,0,332
35290,Playing,5246976,14872,0,0,0,0,1,684,90,332,90,332
35540,Playing,5212160,14773,0,0,0,0,1,686,0,332,0,332
35789,Playing,5240832,14854,0,0,0,0,1,690,0,332,0,332
36036,Playing,5233664,14834,0,0,0,0,1,693,174,332,175,332
36285,Playing,5254144,14892,0,0,0,0,1,697,171,332,171,332
36535,Playing,5227520,14817,0,0,0,0,1,699,0,332,0,332
36782,Playing,5248000,14875,0,0,0,0,1,703,0,332,0,332
37035,Playing,5240832,14854,0,0,0,0,1,706,174,332,175,332
37282,Playing,5269504,14936,0,0,0,0,1,710,0,332,0,332
37531,Playing,5207040,14759,0,0,0,0,1,711,95,332,95,332
37781,Playing,5255168,14895,0,0,0,0,1,716,0,332,0,332
38033,Playing,5220352,14796,0,0,0,0,1,721,1,332,1,332
38283,Playing,5221376,14799,0,0,0,0,1,724,0,332,0,332
38531,Playing,5214208,14779,0,0,0,0,1,727,0,332,0,332
38780,Playing,5179392,14680,0,0,0,0,1,729,0,332,0,332
39030,Playing,5208064,14762,0,0,0,0,1,733,176,332,176,332
39280,Playing,5256192,14898,0,0,0,0,1,738,0,332,0,332
