t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
253,Off,0,0,0,0,0,0,1,0,0,0,0,0
505,Off,0,0,0,0,0,0,1,0,0,0,0,0
759,Off,0,0,0,0,0,0,1,0,0,0,0,0
1013,Off,0,0,0,0,0,0,1,0,0,0,0,0
1268,Playing,1798144,5096,0,0,0,0,1,79,0,157,0,157
1520,Playing,3560448,10091,0,0,0,0,1,150,0,157,0,157
1774,Playing,5516288,15635,0,0,0,0,1,233,0,164,0,164
2027,Playing,5509120,15615,0,0,0,0,1,236,0,176,0,176
2280,Playing,5537792,15696,0,0,0,0,1,240,0,176,0,177
2534,Playing,5475328,15519,0,0,0,0,1,241,95,176,95,177
2785,Playing,5495808,15577,0,0,0,0,1,245,0,176,0,177
3025,Playing,5524480,15658,0,0,0,0,1,249,0,176,0,177
3274,Playing,5517312,15638,0,0,0,0,1,252,175,176,175,177
3523,Playing,5482496,15539,0,0,0,0,1,254,16,176,16,177
3769,Playing,5511168,15621,0,0,0,0,1,258,0,176,0,177
4017,Playing,5531648,15679,0,0,0,0,1,262,0,178,0,179
4266,Playing,5469184,15502,0,0,0,0,1,263,92,178,92,179
4516,Playing,5470208,15505,0,0,0,0,1,269,0,178,0,179
4765,Playing,5490688,15563,0,0,0,0,1,273,0,178,0,179
5015,Playing,5483520,15542,0,0,0,0,1,276,0,178,0,179
5266,Playing,5448704,15444,0,0,0,0,1,278,0,178,0,179
5515,Playing,5477376,15525,0,0,0,0,1,282,0,178,0,179
5761,Playing,5442560,15426,0,0,0,0,1,284,97,178,97,179
6010,Playing,5490688,15563,0,0,0,0,1,289,0,178,0,179
6259,Playing,5436416,15409,0,0,0,0,1,290,95,178,95,179
6505,Playing,5456896,15467,0,0,0,0,1,294,94,178,94,179
6752,Playing,5477376,15525,0,0,0,0,1,298,0,178,0,179
7001,Playing,5478400,15528,0,0,0,0,1,304,0,178,15,179
7250,Playing,5443584,15429,0,0,0,0,1,306,1,178,1,179
7561,Playing,5475328,15519,0,0,0,0,1,311,0,178,0,179
7750,Playing,5437440,15412,0,0,0,0,1,312,96,178,96,179
8061,Playing,5433344,15400,0,0,0,0,1,316,0,178,0,179
8314,Playing,5453824,15458,0,0,0,0,1,320,0,178,0,179
8557,Playing,5482496,15539,0,0,0,0,1,324,0,178,0,179
8808,Playing,5475328,15519,0,0,0,0,1,327,0,178,0,179
9055,Playing,5440512,15420,0,0,0,0,1,329,0,178,0,179
9304,Playing,5441536,15423,0,0,0,0,1,332,178,178,178,179
