t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
253,Off,0,0,0,0,0,0,1,0,0,0,0,0
507,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
759,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
1011,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
1265,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
1517,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
1770,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
2024,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
2277,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
2532,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
2784,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
3051,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
3296,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
3545,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
3793,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
4041,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
4291,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
4537,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
4785,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
5034,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
5284,Reconnecting,0,0,0,0,0,0,1,6,0,134,0,0
5534,Reconnecting,0,0,0,0,0,0,2,6,0,134,0,0
5783,Reconnecting,0,0,0,0,0,0,2,6,0,134,0,0
6035,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
6282,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
6529,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
6778,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
7027,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
7272,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
7521,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
7769,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
8018,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
8267,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
8519,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
8767,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
9015,Reconnecting,0,0,0,0,0,0,2,13,0,134,0,0
