t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
262,Off,0,0,0,0,0,0,1,0,0,0,0,0
516,Off,0,0,0,0,0,0,1,0,0,0,0,0
769,Off,0,0,0,0,0,0,1,0,0,0,0,0
1024,Off,0,0,0,0,0,0,1,0,0,0,0,0
1278,Off,0,0,0,0,0,0,1,0,0,0,0,0
1530,Off,64512,182,0,0,0,0,1,3,0,10,0,11
1782,Off,562176,1593,0,0,0,0,1,14,10,192,15,193
2036,Playing,1613824,4574,0,0,0,0,1,36,0,192,0,193
2288,Playing,2399232,6800,0,0,0,0,1,54,0,192,0,193
2541,Playing,2871296,8138,0,0,0,0,1,66,0,192,0,193
2795,Playing,3656704,10364,0,0,0,0,1,84,0,192,0,193
3004,Playing,4154368,11775,0,0,0,0,1,96,0,192,0,193
3257,Playing,4451328,12617,0,0,0,0,1,105,0,192,0,193
3508,Playing,4489216,12724,0,0,0,0,1,107,157,192,157,193
3756,Playing,4426752,12547,0,0,0,0,1,108,161,192,161,193
4006,Playing,4401152,12474,0,0,0,0,1,110,157,192,157,193
4256,Playing,4420608,12530,0,0,0,0,1,113,162,192,162,193
4506,Playing,4413440,12509,0,0,0,0,1,115,0,192,0,193
4754,Playing,4433920,12567,0,0,0,0,1,117,162,192,162,193
5002,Playing,4417536,12521,0,0,0,0,1,120,10,192,90,193
5254,Playing,4372480,12393,0,0,0,0,1,121,159,192,159,193
5504,Playing,4365312,12373,0,0,0,0,1,122,161,192,161,193
5756,Playing,4404224,12483,0,0,0,0,1,124,159,308,159,308
6007,Playing,4369408,12384,0,0,0,0,1,126,80,308,160,308
6255,Playing,4370432,12387,0,0,0,0,1,128,0,308,0,308
6504,Playing,4409344,12498,0,0,0,0,1,130,159,308,160,308
6754,Playing,4319232,12242,0,0,0,0,1,130,159,308,160,308
7069,Playing,4369408,12384,0,0,0,0,1,134,4,312,92,312
7287,Playing,4324352,12257,0,0,0,0,1,135,177,312,177,312
7549,Playing,4363264,12367,0,0,0,0,1,137,158,312,158,312
7800,Playing,4356096,12347,0,0,0,0,1,138,158,312,158,312
8052,Playing,4321280,12248,0,0,0,0,1,140,158,312,158,312
8302,Playing,4359168,12355,0,0,0,0,1,144,9,312,9,312
8550,Playing,4269056,12100,0,0,0,0,1,144,9,312,9,312
8832,Playing,4290560,12161,0,0,0,0,1,147,161,312,161,312
9028,Playing,4262912,12083,0,0,0,0,1,148,204,312,204,312
9267,Playing,4282368,12138,0,0,0,0,1,152,12,312,12,312
9516,Playing,4275200,12117,0,0,0,0,1,154,167,312,167,312
9840,Playing,4271104,12106,0,0,0,0,1,157,137,312,137,312
10089,Playing,4235264,12004,0,0,0,0,1,158,195,312,196,312
10327,Playing,4200448,11906,0,0,0,0,1,161,0,312,98,312
10546,Playing,4255744,12062,0,0,0,0,1,163,178,312,178,312
10757,Playing,4218880,11958,0,0,0,0,1,164,145,312,145,312
11079,Playing,4214784,11946,0,0,0,0,1,167,154,312,154,312
11277,Playing,4214784,11946,0,0,0,0,1,169,8,312,176,312
11546,Playing,4253696,12056,0,0,0,0,1,171,154,312,154,312
11758,Playing,4226048,11978,0,0,0,0,1,172,158,312,158,312
12111,Playing,4177920,11842,0,0,0,0,1,174,213,312,213,312
12294,Playing,4158464,11787,0,0,0,0,1,177,10,312,51,312
12514,Playing,4167680,11813,0,0,0,0,1,179,2,312,2,312
12852,Playing,4127744,11699,0,0,0,0,1,181,216,312,216,312
13040,Playing,4145152,11749,0,0,0,0,1,182,103,312,103,312
13291,Playing,4156416,11781,0,0,0,0,1,186,0,312,93,312
13506,Playing,4174848,11833,0,0,0,0,1,188,3,312,3,312
13773,Playing,4084736,11578,0,0,0,0,1,188,3,312,3,312
14046,Playing,4143104,11743,0,0,0,0,1,191,168,336,168,336
14265,Playing,4070400,11537,0,0,0,0,1,193,80,336,150,336
14581,Playing,4065280,11522,0,0,0,0,1,195,58,336,58,336
14836,Playing,4094976,11607,0,0,0,0,1,197,135,336,135,336
15011,Playing,4075520,11551,0,0,0,0,1,198,159,336,159,336
15266,Playing,4059136,11505,0,0,0,0,1,201,39,336,199,336
15519,Playing,4079616,11563,0,0,0,0,1,203,169,336,169,336
15770,Playing,4126720,11697,0,0,0,0,1,205,169,336,169,336
16007,Playing,4073472,11546,0,0,0,0,1,206,178,336,178,336
16277,Playing,4047872,11473,0,0,0,0,1,209,93,336,9,336
16500,Playing,4067328,11528,0,0,0,0,1,211,166,336,166,336
