t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
504,Off,0,0,0,0,0,0,1,0,0,0,0,0
758,Off,0,0,0,0,0,0,1,0,0,0,0,0
1011,Off,0,0,0,0,0,0,1,0,0,0,0,0
1263,Off,0,0,0,0,0,0,1,0,0,0,0,0
1514,Off,0,0,0,0,0,0,1,0,0,0,0,0
1766,Off,0,0,0,0,0,0,1,0,0,0,0,0
2020,Off,0,0,0,0,0,0,1,0,0,0,0,0
2250,Off,0,0,0,0,0,0,1,0,0,0,0,0
2504,Off,0,0,0,0,0,0,1,0,0,0,0,0
2758,Off,0,0,0,0,0,0,1,0,0,0,0,0
3050,Off,0,0,0,0,0,0,1,0,0,0,0,0
3302,Off,0,0,0,0,0,0,1,0,0,0,0,0
3553,Off,0,0,0,0,0,0,1,4,0,399,0,0
3801,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
4050,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
4301,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
4550,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
4799,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
5047,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
5299,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
5549,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
5803,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
6051,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
6303,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
6551,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
6800,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
7008,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
7301,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
7502,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
7752,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
8001,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
8253,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
8505,Reconnecting,0,0,0,0,0,0,1,17,0,399,0,0
8755,Reconnecting,0,0,0,0,0,0,2,17,0,399,0,0
9030,Reconnecting,0,0,0,0,0,0,2,17,0,399,0,0
9281,Reconnecting,0,0,0,0,0,0,2,17,0,399,0,0
9529,Reconnecting,0,0,0,0,0,0,2,17,0,399,0,0
9750,Reconnecting,0,0,0,0,0,0,2,17,0,399,0,0
10009,Reconnecting,0,0,0,0,0,0,2,17,0,399,0,0
10341,Reconnecting,0,0,0,0,0,0,2,17,0,399,0,0
10560,Reconnecting,0,0,0,0,0,0,2,17,0,399,0,0
10771,Reconnecting,0,0,0,0,0,0,2,17,0,399,0,0
11000,Reconnecting,55296,156,0,0,0,0,2,23,0,399,0,396
11287,Reconnecting,258048,731,0,0,0,0,2,37,1,399,1,396
11550,Reconnecting,976896,2768,0,0,0,0,2,83,0,399,0,396
11804,Playing,1516544,4298,0,0,0,0,2,116,0,399,0,396
12125,Playing,1438720,4078,0,0,0,0,2,117,390,399,390,396
12307,Playing,1686528,4780,0,0,0,0,2,137,0,399,0,396
12528,Playing,1631232,4623,0,0,0,0,2,138,346,399,346,396
12871,Playing,1618944,4588,0,0,0,0,2,146,0,399,0,396
13057,Playing,1737728,4925,0,0,0,0,2,155,0,399,0,396
13305,Playing,1813504,5140,0,0,0,0,2,164,0,399,0,396
13520,Playing,1739776,4931,0,0,0,0,2,164,0,399,0,396
13784,Playing,1695744,4806,0,0,0,0,2,169,0,425,0,425
14061,Playing,1597440,4527,0,0,0,0,2,169,0,425,0,425
14279,Playing,1589248,4504,0,0,0,0,2,174,0,425,0,425
14595,Playing,1547264,4385,0,0,0,0,2,177,0,425,0,425
