t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
254,Off,0,0,0,0,0,0,1,0,0,0,0,0
508,Off,0,0,0,0,0,0,1,0,0,0,0,0
760,Off,0,0,0,0,0,0,1,0,0,0,0,0
1014,Off,0,0,0,0,0,0,1,0,0,0,0,0
1270,Off,0,0,0,0,0,0,1,0,0,0,0,0
1522,Off,0,0,0,0,0,0,1,0,0,0,0,0
1776,Off,0,0,0,0,0,0,1,0,0,0,0,0
2028,Off,0,0,0,0,0,0,1,0,0,0,0,0
2281,Off,0,0,0,0,0,0,1,0,0,0,0,0
2535,Off,0,0,0,0,0,0,1,0,0,0,0,0
2788,Off,0,0,0,0,0,0,1,2,0,421,0,0
3005,Off,414720,1175,0,0,0,0,1,9,0,421,0,540
3255,Off,838656,2377,0,0,0,0,1,18,0,421,0,540
3504,Off,838656,2377,0,0,0,0,1,18,0,421,0,540
3758,Off,1059840,3004,0,0,0,0,1,22,0,421,0,540
4005,Off,1069056,3030,0,0,0,0,1,24,0,421,0,540
4255,Off,1069056,3030,0,0,0,0,1,24,0,421,0,540
4504,Off,1152000,3265,0,0,0,0,1,26,0,421,0,540
4754,Off,1281024,3631,0,0,0,0,1,27,390,421,390,540
5004,Off,1281024,3631,0,0,0,0,1,27,390,421,390,540
5251,Off,1308672,3709,0,0,0,0,1,28,407,421,407,540
5501,Off,1308672,3709,0,0,0,0,1,28,407,421,407,540
5755,Off,1410048,3996,0,0,0,0,1,29,395,421,395,540
6004,Playing,1423360,4034,0,0,0,0,1,30,412,421,412,540
6257,Playing,1341440,3802,0,0,0,0,1,30,412,421,412,540
6505,Playing,1278976,3625,0,0,0,0,1,31,391,421,391,540
6754,Playing,1234944,3500,0,0,0,0,1,32,397,421,397,540
7004,Playing,1144832,3244,0,0,0,0,1,32,397,421,397,540
7264,Playing,1091584,3094,0,0,0,0,1,33,398,421,398,540
7514,Playing,1121280,3178,0,0,0,0,1,34,400,421,400,540
7809,Playing,1022976,2899,0,0,0,0,1,34,400,421,400,540
8001,Playing,967680,2742,0,0,0,0,1,35,394,421,394,540
8251,Playing,885760,2510,0,0,0,0,1,35,394,421,394,540
8505,Playing,897024,2542,0,0,0,0,1,36,401,421,401,540
8754,Playing,834560,2365,0,0,0,0,1,37,416,421,417,540
9000,Playing,744448,2110,0,0,0,0,1,37,416,421,417,540
9263,Playing,764928,2168,0,0,0,0,1,38,391,421,392,540
9576,Playing,695296,1970,0,0,0,0,1,39,406,421,406,540
9765,Playing,629760,1785,0,0,0,0,1,39,406,421,406,540
10030,Playing,549888,1558,0,0,0,0,1,40,390,421,390,540
10285,Playing,459776,1303,0,0,0,0,1,40,390,421,390,540
10521,Playing,497664,1410,0,0,0,0,1,41,450,450,451,540
10782,Playing,435200,1233,0,0,0,0,1,42,352,450,352,540
11047,Playing,336896,954,0,0,0,0,1,42,352,450,352,540
11290,Playing,374784,1062,0,0,0,0,1,43,425,450,425,540
11523,Playing,311296,882,0,0,0,0,1,44,372,450,372,540
11793,Playing,212992,603,0,0,0,0,1,44,372,450,372,540
12059,Playing,234496,664,0,0,0,0,1,45,407,450,407,540
12317,Playing,144384,409,0,0,0,0,1,45,407,450,407,540
12551,Playing,108544,307,0,0,0,0,1,46,436,450,436,540
12755,Playing,53248,150,0,0,0,0,1,47,403,450,403,540
13093,Playing,0,0,0,0,0,0,1,47,403,450,403,540
13338,Buffering,46080,130,1,0,0,0,1,48,343,450,344,540
13540,Buffering,73728,208,1,0,0,0,1,49,399,450,399,540
13789,Buffering,73728,208,1,0,0,0,1,49,399,450,399,540
14007,Buffering,184320,522,1,0,0,0,1,50,402,450,402,540
14278,Buffering,184320,522,1,0,0,0,1,50,402,450,402,540
14639,Buffering,202752,574,1,0,0,0,1,51,413,450,413,540
14819,Buffering,313344,888,1,0,0,0,1,52,502,502,502,540
15072,Buffering,313344,888,1,0,0,0,1,52,502,502,502,540
15310,Buffering,350208,992,1,0,0,0,1,53,275,502,275,540
15548,Buffering,435200,1233,1,1,0,0,1,54,395,502,395,540
15775,Buffering,353280,1001,1,1,0,0,1,54,395,502,395,540
16019,Buffering,317440,899,1,1,0,0,1,55,411,502,411,540
16288,Buffering,219136,621,1,1,0,0,1,55,411,502,411,540
16528,Buffering,155648,441,1,1,0,0,1,56,412,502,412,540
16773,Buffering,185344,525,1,1,0,0,1,57,392,502,392,540
17023,Buffering,95232,269,1,1,0,0,1,57,392,502,392,540
17253,Buffering,40960,116,1,1,0,0,1,58,399,502,399,540
17513,Buffering,119808,339,1,1,0,0,1,59,387,502,388,540
17828,Buffering,119808,339,1,1,0,0,1,59,387,502,388,540
18031,Buffering,156672,444,1,1,0,0,1,60,430,502,430,540
18268,Buffering,156672,444,1,1,0,0,1,60,430,502,430,540
18518,Playing,185344,525,1,2,0,0,1,61,363,502,363,540
18805,Playing,106496,301,1,2,0,0,1,62,414,502,414,540
19048,Playing,24576,69,1,2,0,0,1,62,414,502,414,540
19255,Playing,0,0,1,2,0,0,1,63,388,502,388,540
19508,Buffering,36864,104,2,2,0,0,1,64,397,502,397,540
19773,Buffering,36864,104,2,2,0,0,1,64,397,502,397,540
20042,Buffering,55296,156,2,2,0,0,1,65,401,502,401,540
20296,Buffering,175104,496,2,2,0,0,1,66,404,502,404,540
20525,Buffering,175104,496,2,2,0,0,1,66,404,502,404,540
20765,Buffering,211968,600,2,2,0,0,1,67,409,502,409,540
21006,Buffering,211968,600,2,2,0,0,1,67,409,502,409,540
21255,Buffering,313344,888,2,2,0,0,1,68,385,502,385,540
21505,Buffering,340992,966,2,2,0,0,1,69,404,502,404,540
21755,Buffering,340992,966,2,2,0,0,1,69,404,502,404,540
22025,Buffering,410624,1163,2,3,0,0,1,70,392,502,392,540
22285,Buffering,349184,989,2,3,0,0,1,71,393,502,393,540
22533,Buffering,267264,757,2,3,0,0,1,71,393,502,393,540
22781,Buffering,204800,580,2,3,0,0,1,72,398,502,399,540
23029,Buffering,114688,325,2,3,0,0,1,72,398,502,399,540
23279,Buffering,78848,223,2,3,0,0,1,73,398,502,398,540
23531,Buffering,16384,46,2,3,0,0,1,74,398,502,398,540
23780,Buffering,0,0,2,3,0,0,1,74,398,502,398,540
24032,Buffering,64512,182,2,3,0,0,1,75,398,502,398,540
24280,Buffering,92160,261,2,3,0,0,1,76,400,502,400,540
24529,Buffering,92160,261,2,3,0,0,1,76,400,502,400,540
24781,Playing,179200,507,2,4,0,0,1,77,401,502,401,540
25034,Playing,89088,252,2,4,0,0,1,77,401,502,401,540
25285,Playing,35840,101,2,4,0,0,1,78,404,502,404,540
25543,Buffering,110592,313,3,4,0,0,1,79,393,502,393,540
25791,Buffering,110592,313,3,4,0,0,1,79,393,502,393,540
26038,Buffering,138240,391,3,4,0,0,1,80,397,502,397,540
26285,Buffering,165888,470,3,4,0,0,1,81,397,502,397,540
26535,Buffering,165888,470,3,4,0,0,1,81,397,502,397,540
26802,Buffering,285696,809,3,4,0,0,1,82,402,502,402,540
27049,Buffering,285696,809,3,4,0,0,1,82,402,502,402,540
27304,Buffering,304128,862,3,4,0,0,1,83,397,502,397,540
27550,Buffering,390144,1105,3,5,0,0,1,84,398,502,399,540
27799,Buffering,300032,850,3,5,0,0,1,84,398,502,399,540
28050,Buffering,246784,699,3,5,0,0,1,85,399,502,399,540
28298,Buffering,276480,783,3,5,0,0,1,86,399,502,399,540
28547,Buffering,194560,551,3,5,0,0,1,86,399,502,399,540
28797,Buffering,132096,374,3,5,0,0,1,87,396,502,396,540
29045,Buffering,41984,119,3,5,0,0,1,87,396,502,396,540
29293,Buffering,0,0,3,5,0,0,1,88,418,502,418,540
29544,Buffering,46080,130,3,5,0,0,1,89,384,502,384,540
29794,Buffering,46080,130,3,5,0,0,1,89,384,502,384,540
30045,Buffering,73728,208,3,5,0,0,1,90,397,502,397,540
30296,Buffering,138240,391,3,5,0,0,1,91,399,502,400,540
30544,Buffering,138240,391,3,5,0,0,1,91,399,502,400,540
30793,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
31042,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
31290,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
31542,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
31792,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
32042,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
32292,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
32540,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
32790,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
33040,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
33288,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
33538,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
33789,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
34038,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
34288,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
34537,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
34787,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
35037,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
35287,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
35535,Reconnecting,0,0,3,6,0,0,1,92,402,502,402,540
35784,Reconnecting,0,0,3,6,0,0,2,92,402,502,402,540
36038,Reconnecting,0,0,3,6,0,0,2,92,402,502,402,540
36285,Reconnecting,0,0,3,6,0,0,2,92,402,502,402,540
36535,Reconnecting,0,0,3,6,0,0,2,92,402,502,402,540
36788,Reconnecting,0,0,3,6,0,0,2,92,402,502,402,540
37038,Reconnecting,0,0,3,6,0,0,2,92,402,502,402,540
37289,Reconnecting,0,0,3,6,0,0,2,92,402,502,402,540
37541,Reconnecting,0,0,3,6,0,0,2,92,402,502,402,540
37789,Reconnecting,0,0,3,6,0,0,2,92,402,502,402,540
38038,Reconnecting,64512,182,3,6,0,0,2,96,0,502,541,541
38289,Reconnecting,405504,1149,3,6,0,0,2,103,0,502,0,541
38535,Reconnecting,764928,2168,3,6,0,0,2,110,0,502,0,541
38783,Reconnecting,976896,2768,3,6,0,0,2,114,0,502,0,541
39034,Reconnecting,976896,2768,3,6,0,0,2,114,0,502,0,541
39307,Reconnecting,986112,2795,3,6,0,0,2,116,1,502,1,541
39557,Reconnecting,1069056,3030,3,6,0,0,2,118,0,502,0,541
39806,Reconnecting,1069056,3030,3,6,0,0,2,118,0,502,0,541
40055,Reconnecting,1198080,3395,3,6,0,0,2,119,395,502,395,541
