t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
253,Off,0,0,0,0,0,0,1,0,0,0,0,0
507,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
759,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
1013,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
1266,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
1519,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
1772,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
2024,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
2290,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
2544,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
2798,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
3026,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
3279,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
3530,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
3779,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
4028,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
4277,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
4528,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
4777,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
5026,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
5276,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
5527,Reconnecting,0,0,0,0,0,0,1,7,1,127,0,0
5778,Reconnecting,0,0,0,0,0,0,2,7,1,127,0,0
6029,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
6281,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
6527,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
6779,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
7048,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
7272,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
7500,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
7808,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
8061,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
8310,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
8558,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
8758,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
9035,Reconnecting,0,0,0,0,0,0,2,13,7,127,0,0
