t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
254,Off,0,0,0,0,0,0,1,0,0,0,0,0
506,Off,0,0,0,0,0,0,1,0,0,0,0,0
759,Off,0,0,0,0,0,0,1,0,0,0,0,0
1012,Off,0,0,0,0,0,0,1,0,0,0,0,0
1265,Off,0,0,0,0,0,0,1,0,0,0,0,0
1519,Off,0,0,0,0,0,0,1,8,0,140,0,0
1773,Off,184320,522,0,0,0,0,1,22,0,184,0,362
2026,Off,617472,1750,0,0,0,0,1,50,0,184,0,362
2280,Playing,1616896,4583,0,0,0,0,1,113,0,184,0,362
2532,Playing,1554432,4405,0,0,0,0,1,116,0,184,0,362
2784,Playing,1509376,4278,0,0,0,0,1,119,0,184,0,362
3038,Playing,1419264,4022,0,0,0,0,1,124,6,184,6,362
3291,Playing,1356800,3845,0,0,0,0,1,127,118,184,118,362
3544,Playing,1294336,3668,0,0,0,0,1,133,12,184,12,362
3798,Playing,1231872,3491,0,0,0,0,1,137,16,184,16,362
4000,Playing,1167360,3308,0,0,0,0,1,143,0,184,0,362
4252,Playing,1095680,3105,0,0,0,0,1,147,13,184,13,362
4505,Playing,1013760,2873,0,0,0,0,1,151,103,184,103,362
4758,Playing,923648,2618,0,0,0,0,1,157,0,184,0,362
5011,Playing,879616,2493,0,0,0,0,1,163,0,184,0,362
5264,Playing,817152,2316,0,0,0,0,1,167,8,184,8,362
5518,Playing,754688,2139,0,0,0,0,1,172,0,184,0,362
5771,Playing,692224,1962,0,0,0,0,1,176,6,184,6,362
6024,Playing,620544,1758,0,0,0,0,1,180,127,184,127,362
6277,Playing,558080,1581,0,0,0,0,1,183,124,184,124,362
6529,Playing,476160,1349,0,0,0,0,1,187,5,184,5,362
6782,Playing,395264,1120,0,0,0,0,1,191,3,184,3,362
7035,Playing,332800,943,0,0,0,0,1,194,128,184,128,362
7287,Playing,242688,687,0,0,0,0,1,200,0,184,0,362
7539,Playing,180224,510,0,0,0,0,1,205,119,184,119,362
7793,Playing,108544,307,0,0,0,0,1,212,0,184,0,362
8045,Playing,27648,78,0,0,0,0,1,217,19,184,19,362
8298,Buffering,18432,52,1,0,0,0,1,221,114,184,114,362
8500,Buffering,18432,52,1,0,0,0,1,227,0,184,0,362
8754,Buffering,36864,104,1,0,0,0,1,231,0,184,0,362
9008,Buffering,46080,130,1,0,0,0,1,235,0,184,0,362
9261,Buffering,55296,156,1,0,0,0,1,238,0,184,0,362
9514,Buffering,55296,156,1,0,0,0,1,243,6,184,6,362
9768,Buffering,73728,208,1,0,0,0,1,248,0,184,0,362
10020,Buffering,101376,287,1,0,0,0,1,251,0,184,0,362
10274,Buffering,110592,313,1,0,0,0,1,255,0,184,0,362
10526,Buffering,110592,313,1,0,0,0,1,260,10,184,10,362
10780,Buffering,138240,391,1,0,0,0,1,264,100,184,100,362
11034,Buffering,147456,417,1,0,0,0,1,271,12,184,12,362
11286,Buffering,147456,417,1,0,0,0,1,276,10,184,10,362
11540,Buffering,156672,444,1,0,0,0,1,282,0,184,0,362
11792,Buffering,175104,496,1,0,0,0,1,287,3,184,3,362
12045,Buffering,184320,522,1,0,0,0,1,293,0,184,0,362
12299,Buffering,184320,522,1,0,0,0,1,298,4,184,4,362
12501,Buffering,221184,626,1,0,0,0,1,301,122,184,122,362
12753,Buffering,230400,653,1,0,0,0,1,307,0,184,0,362
13006,Buffering,239616,679,1,0,0,0,1,311,0,184,0,362
13260,Playing,216064,612,1,1,0,0,1,316,11,184,11,362
13513,Playing,135168,383,1,1,0,0,1,321,6,184,6,362
13766,Playing,54272,153,1,1,0,0,1,327,0,184,0,362
14018,Buffering,46080,130,2,1,0,0,1,333,0,211,0,362
14271,Buffering,55296,156,2,1,0,0,1,338,5,211,5,362
14524,Buffering,55296,156,2,1,0,0,1,343,5,211,5,362
14778,Buffering,82944,235,2,1,0,0,1,346,126,211,126,362
15030,Buffering,110592,313,2,1,0,0,1,349,118,211,118,362
15283,Buffering,119808,339,2,1,0,0,1,353,4,211,4,362
15535,Buffering,147456,417,2,1,0,0,1,358,0,211,0,362
15788,Buffering,156672,444,2,1,0,0,1,363,111,211,111,362
16042,Buffering,175104,496,2,1,0,0,1,367,117,211,117,362
16295,Buffering,202752,574,2,1,0,0,1,373,117,211,117,362
16548,Buffering,202752,574,2,1,0,0,1,378,4,211,4,362
16750,Buffering,211968,600,2,1,0,0,1,380,0,211,0,362
17003,Buffering,221184,626,2,1,0,0,1,385,9,211,9,362
17255,Buffering,230400,653,2,1,0,0,1,392,0,211,0,362
17508,Buffering,258048,731,2,1,0,0,1,396,4,211,4,362
17762,Buffering,304128,862,2,1,0,0,1,399,105,211,105,362
18015,Buffering,331776,940,2,1,0,0,1,404,0,211,0,362
18268,Buffering,350208,992,2,1,0,0,1,409,117,211,117,362
18522,Buffering,350208,992,2,1,0,0,1,413,3,211,3,362
18776,Buffering,343040,972,2,2,0,0,1,419,0,211,0,362
19029,Buffering,280576,795,2,2,0,0,1,423,8,211,8,362
19283,Buffering,218112,618,2,2,0,0,1,427,117,211,117,362
19535,Buffering,145408,412,2,2,0,0,1,433,0,211,0,362
19789,Buffering,73728,208,2,2,0,0,1,437,2,211,2,362
20041,Buffering,29696,84,2,2,0,0,1,440,117,211,117,362
20293,Buffering,0,0,2,2,0,0,1,446,0,211,0,362
20545,Buffering,18432,52,2,2,0,0,1,453,0,211,0,362
20800,Buffering,27648,78,2,2,0,0,1,459,5,211,5,362
21003,Buffering,27648,78,2,2,0,0,1,461,0,211,0,362
21256,Buffering,55296,156,2,2,0,0,1,465,116,211,116,362
21509,Playing,52224,148,2,3,0,0,1,470,0,211,0,362
21761,Playing,0,0,2,3,0,0,1,475,124,211,124,362
22015,Buffering,18432,52,3,3,0,0,1,480,2,211,2,362
22268,Buffering,18432,52,3,3,0,0,1,486,0,211,0,362
22521,Buffering,18432,52,3,3,0,0,1,491,115,211,115,362
22774,Buffering,27648,78,3,3,0,0,1,496,7,211,7,362
23026,Buffering,36864,104,3,3,0,0,1,502,0,211,0,362
23279,Buffering,55296,156,3,3,0,0,1,507,112,211,112,362
23531,Buffering,82944,235,3,3,0,0,1,512,0,211,0,362
23783,Buffering,82944,235,3,3,0,0,1,517,6,211,6,362
24038,Buffering,92160,261,3,3,0,0,1,522,6,211,6,362
24290,Buffering,92160,261,3,3,0,0,1,524,0,211,0,362
24542,Buffering,101376,287,3,3,0,0,1,533,13,211,13,362
24795,Buffering,110592,313,3,3,0,0,1,538,7,211,7,362
25050,Buffering,138240,391,3,3,0,0,1,543,0,211,0,362
25252,Buffering,138240,391,3,3,0,0,1,547,0,211,0,362
25504,Buffering,165888,470,3,3,0,0,1,551,6,211,6,362
25758,Buffering,175104,496,3,3,0,0,1,556,17,211,17,362
26011,Buffering,175104,496,3,3,0,0,1,563,105,211,105,362
26263,Buffering,202752,574,3,3,0,0,1,567,115,211,115,362
26516,Buffering,202752,574,3,3,0,0,1,574,15,211,15,362
26769,Buffering,202752,574,3,3,0,0,1,579,8,211,8,362
27021,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
27274,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
27528,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
27781,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
28033,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
28287,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
28540,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
28793,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
29046,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
29299,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
29501,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
29753,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
30008,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
30261,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
30513,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
30766,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
31019,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
31272,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
31524,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
31779,Reconnecting,0,0,3,4,0,0,1,580,115,211,115,362
32033,Reconnecting,0,0,3,4,0,0,2,580,115,211,115,362
32286,Reconnecting,0,0,3,4,0,0,2,580,115,211,115,362
32538,Reconnecting,0,0,3,4,0,0,2,580,115,211,115,362
32791,Reconnecting,0,0,3,4,0,0,2,580,115,211,115,362
33044,Reconnecting,27648,78,3,4,0,0,2,588,0,211,0,362
33296,Reconnecting,368640,1044,3,4,0,0,2,607,0,211,0,362
33549,Reconnecting,995328,2821,3,4,0,0,2,645,0,211,0,362
33756,Playing,1655808,4693,3,4,0,0,2,690,3,211,3,362
34008,Playing,1602560,4542,3,4,0,0,2,695,0,211,0,362
34260,Playing,1512448,4286,3,4,0,0,2,700,0,211,0,362
34512,Playing,1458176,4133,3,4,0,0,2,704,103,211,103,362
34765,Playing,1377280,3903,3,4,0,0,2,710,0,211,0,362
35018,Playing,1314816,3726,3,4,0,0,2,713,0,211,0,362
35271,Playing,1243136,3523,3,4,0,0,2,717,5,211,5,362
35524,Playing,1199104,3398,3,4,0,0,2,721,8,211,8,362
35776,Playing,1118208,3169,3,4,0,0,2,725,15,211,15,362
36030,Playing,1028096,2914,3,4,0,0,2,730,0,211,0,362
36282,Playing,947200,2684,3,4,0,0,2,738,0,211,0,362
36536,Playing,865280,2452,3,4,0,0,2,743,13,211,13,362
36789,Playing,784384,2223,3,4,0,0,2,750,0,211,0,362
37041,Playing,703488,1994,3,4,0,0,2,755,11,211,11,362
37294,Playing,622592,1764,3,4,0,0,2,760,1,211,1,362
37547,Playing,560128,1587,3,4,0,0,2,765,0,211,0,362
37750,Playing,486400,1378,3,4,0,0,2,770,1,211,1,362
38003,Playing,413696,1172,3,4,0,0,2,774,130,211,130,362
38254,Playing,332800,943,3,4,0,0,2,778,108,211,108,362
38508,Playing,251904,714,3,4,0,0,2,782,97,211,97,362
38760,Playing,171008,484,3,4,0,0,2,788,0,211,0,362
39013,Playing,90112,255,3,4,0,0,2,793,11,211,11,362
39266,Playing,27648,78,3,4,0,0,2,797,112,211,112,362
39520,Buffering,9216,26,4,4,0,0,2,801,6,211,7,362
39772,Buffering,27648,78,4,4,0,0,2,807,122,211,122,362
40026,Buffering,36864,104,4,4,0,0,2,814,0,211,0,362
40278,Buffering,36864,104,4,4,0,0,2,819,5,211,5,362
