t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
254,Off,0,0,0,0,0,0,1,0,0,0,0,0
508,Off,0,0,0,0,0,0,1,0,0,0,0,0
766,Off,0,0,0,0,0,0,1,0,0,0,0,0
1021,Off,0,0,0,0,0,0,1,0,0,0,0,0
1274,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
1528,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
1783,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
2037,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
2293,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
2500,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
2754,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
3007,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
3262,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
3516,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
3784,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
4038,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
4293,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
4546,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
4750,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
5002,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
5255,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
5509,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
5763,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
6016,Reconnecting,0,0,0,0,0,0,1,27,0,1,0,0
6272,Reconnecting,0,0,0,0,0,0,2,27,0,1,0,0
6524,Reconnecting,0,0,0,0,0,0,2,27,0,1,0,0
6776,Reconnecting,0,0,0,0,0,0,2,27,0,1,0,0
7033,Reconnecting,525312,1488,0,0,0,0,2,49,0,152,0,152
7288,Playing,2430976,6890,0,0,0,0,2,126,0,153,0,153
7542,Playing,5575680,15804,0,0,0,0,2,256,0,153,0,153
7794,Playing,5568512,15783,0,0,0,0,2,259,0,172,0,172
8049,Playing,5588992,15841,0,0,0,0,2,263,175,175,175,175
8253,Playing,5570560,15789,0,0,0,0,2,265,0,175,0,175
8509,Playing,5599232,15870,0,0,0,0,2,269,0,175,0,175
8762,Playing,5592064,15850,0,0,0,0,2,272,0,177,0,178
9015,Playing,5612544,15908,0,0,0,0,2,276,174,177,174,178
9268,Playing,5605376,15888,0,0,0,0,2,279,174,177,174,178
9545,Playing,5590016,15844,0,0,0,0,2,282,177,177,177,178
9750,Playing,5607424,15894,0,0,0,0,2,285,12,177,12,178
10005,Playing,5627904,15952,0,0,0,0,2,289,0,177,0,178
10263,Playing,5565440,15775,0,0,0,0,2,290,176,177,177,178
10516,Playing,5585920,15833,0,0,0,0,2,297,0,177,0,178
10755,Playing,5559296,15757,0,0,0,0,2,299,104,177,104,178
11020,Playing,5571584,15792,0,0,0,0,2,303,93,177,93,178
11275,Playing,5592064,15850,0,0,0,0,2,307,0,177,0,178
11529,Playing,5529600,15673,0,0,0,0,2,308,95,177,95,178
11782,Playing,5558272,15754,0,0,0,0,2,312,93,177,93,178
12036,Playing,5578752,15812,0,0,0,0,2,316,14,179,15,179
12292,Playing,5571584,15792,0,0,0,0,2,319,85,185,85,185
12546,Playing,5564416,15772,0,0,0,0,2,322,168,185,168,185
12753,Playing,5573632,15798,0,0,0,0,2,325,1,185,1,185
13007,Playing,5566464,15777,0,0,0,0,2,328,0,185,0,185
13265,Playing,5559296,15757,0,0,0,0,2,334,93,185,93,185
13520,Playing,5579776,15815,0,0,0,0,2,338,0,185,0,185
13771,Playing,5517312,15638,0,0,0,0,2,339,177,185,177,185
14025,Playing,5537792,15696,0,0,0,0,2,343,0,185,0,185
14279,Playing,5566464,15777,0,0,0,0,2,347,0,185,0,185
14513,Playing,5567488,15780,0,0,0,0,2,350,65,212,65,212
14773,Playing,5579776,15815,0,0,0,0,2,354,11,212,11,212
15029,Playing,5544960,15717,0,0,0,0,2,356,0,212,0,212
15313,Playing,5529600,15673,0,0,0,0,2,359,95,212,95,212
15532,Playing,5594112,15856,0,0,0,0,2,364,0,212,0,212
15787,Playing,5559296,15757,0,0,0,0,2,369,0,212,15,212
16041,Playing,5552128,15737,0,0,0,0,2,372,0,212,0,212
16255,Playing,5561344,15763,0,0,0,0,2,375,2,212,3,212
16513,Playing,5554176,15743,0,0,0,0,2,378,0,212,0,212
16771,Playing,5547008,15722,0,0,0,0,2,381,91,212,91,212
17029,Playing,5512192,15624,0,0,0,0,2,383,0,212,0,212
17288,Playing,5532672,15682,0,0,0,0,2,387,0,212,0,212
17545,Playing,5525504,15661,0,0,0,0,2,390,93,212,94,212
17800,Playing,5545984,15719,0,0,0,0,2,394,0,212,0,212
18045,Playing,5483520,15542,0,0,0,0,2,395,176,212,176,212
18295,Playing,5539840,15702,0,0,0,0,2,400,0,212,0,212
18543,Playing,5532672,15682,0,0,0,0,2,403,0,212,0,212
18794,Playing,5525504,15661,0,0,0,0,2,409,0,212,0,212
19042,Playing,5526528,15664,0,0,0,0,2,412,0,212,0,212
19295,Playing,5547008,15722,0,0,0,0,2,416,0,212,0,212
19541,Playing,5484544,15545,0,0,0,0,2,417,169,212,169,212
19792,Playing,5513216,15627,0,0,0,0,2,421,94,212,94,212
20041,Playing,5533696,15685,0,0,0,0,2,425,0,212,0,212
20290,Playing,5526528,15664,0,0,0,0,2,428,94,212,94,212
20538,Playing,5499904,15589,0,0,0,0,2,430,0,212,0,212
20790,Playing,5520384,15647,0,0,0,0,2,434,0,212,0,212
21042,Playing,5513216,15627,0,0,0,0,2,437,96,212,96,212
21290,Playing,5533696,15685,0,0,0,0,2,441,91,212,91,212
21542,Playing,5479424,15531,0,0,0,0,2,445,0,212,0,212
21791,Playing,5499904,15589,0,0,0,0,2,449,0,212,0,212
22036,Playing,5492736,15568,0,0,0,0,2,452,0,212,0,212
22286,Playing,5521408,15650,0,0,0,0,2,456,1,212,1,212
22534,Playing,5514240,15629,0,0,0,0,2,459,93,212,93,212
22784,Playing,5515264,15632,0,0,0,0,2,462,0,212,0,212
23033,Playing,5508096,15612,0,0,0,0,2,465,0,212,0,212
23282,Playing,5528576,15670,0,0,0,0,2,469,0,212,0,212
23529,Playing,5529600,15673,0,0,0,0,2,472,0,212,0,212
23777,Playing,5494784,15574,0,0,0,0,2,474,0,212,0,212
24026,Playing,5487616,15554,0,0,0,0,2,477,95,212,95,212
24276,Playing,5498880,15586,0,0,0,0,2,484,0,212,0,212
24527,Playing,5472256,15510,0,0,0,0,2,486,93,212,93,212
24774,Playing,5465088,15490,0,0,0,0,2,489,0,212,0,212
25024,Playing,5457920,15470,0,0,0,0,2,492,94,212,94,212
25274,Playing,5486592,15551,0,0,0,0,2,496,0,212,0,212
25523,Playing,5479424,15531,0,0,0,0,2,499,0,212,0,212
25773,Playing,5444608,15432,0,0,0,0,2,501,0,212,0,212
26023,Playing,5473280,15513,0,0,0,0,2,505,94,212,94,212
26272,Playing,5493760,15571,0,0,0,0,2,509,0,212,0,212
26550,Playing,5478400,15528,0,0,0,0,2,512,0,212,0,212
26753,Playing,5432320,15397,0,0,0,0,2,513,179,212,179,212
27005,Playing,5470208,15505,0,0,0,0,2,520,0,212,17,212
27261,Playing,5444608,15432,0,0,0,0,2,523,1,212,1,212
27515,Playing,5465088,15490,0,0,0,0,2,527,0,212,0,212
27768,Playing,5430272,15391,0,0,0,0,2,529,0,212,0,212
28025,Playing,5423104,15371,0,0,0,0,2,532,0,212,0,212
28288,Playing,5415936,15351,0,0,0,0,2,535,95,212,95,212
28542,Playing,5464064,15487,0,0,0,0,2,540,0,212,0,212
28795,Playing,5401600,15310,0,0,0,0,2,541,174,212,175,212
29049,Playing,5422080,15368,0,0,0,0,2,545,0,212,0,212
29292,Playing,5442560,15426,0,0,0,0,2,549,12,212,12,212
29545,Playing,5443584,15429,0,0,0,0,2,552,92,212,92,212
29800,Playing,5408768,15330,0,0,0,0,2,554,0,212,0,212
30015,Playing,5372928,15229,0,0,0,0,2,559,96,212,96,212
30265,Playing,5401600,15310,0,0,0,0,2,563,94,212,94,212
30513,Playing,5422080,15368,0,0,0,0,2,567,0,212,0,212
30763,Playing,5395456,15293,0,0,0,0,2,569,0,212,0,212
31011,Playing,5388288,15272,0,0,0,0,2,572,96,212,96,212
31261,Playing,5408768,15330,0,0,0,0,2,576,0,212,0,212
31512,Playing,5401600,15310,0,0,0,0,2,579,95,212,95,212
31760,Playing,5402624,15313,0,0,0,0,2,582,0,212,0,212
32011,Playing,5395456,15293,0,0,0,0,2,585,13,253,13,253
32260,Playing,5388288,15272,0,0,0,0,2,588,94,253,94,253
32511,Playing,5389312,15275,0,0,0,0,2,591,0,253,0,253
32762,Playing,5354496,15177,0,0,0,0,2,596,0,253,15,253
33015,Playing,5374976,15235,0,0,0,0,2,600,0,253,0,253
33263,Playing,5367808,15214,0,0,0,0,2,603,0,253,0,253
33513,Playing,5396480,15296,0,0,0,0,2,607,14,253,14,253
33783,Playing,5381120,15252,0,0,0,0,2,610,103,253,103,253
34040,Playing,5373952,15232,0,0,0,0,2,613,4,253,4,253
34292,Playing,5366784,15211,0,0,0,0,2,616,95,253,95,253
34542,Playing,5367808,15214,0,0,0,0,2,619,93,253,93,253
34791,Playing,5332992,15116,0,0,0,0,2,621,0,253,0,253
35041,Playing,5353472,15174,0,0,0,0,2,625,0,253,0,253
35291,Playing,5382144,15255,0,0,0,0,2,629,0,253,0,253
35539,Playing,5374976,15235,0,0,0,0,2,635,0,253,0,253
35791,Playing,5367808,15214,0,0,0,0,2,638,89,253,89,253
36039,Playing,5368832,15217,0,0,0,0,2,641,68,253,68,253
36290,Playing,5334016,15119,0,0,0,0,2,643,0,253,0,253
36539,Playing,5354496,15177,0,0,0,0,2,647,0,253,0,253
36790,Playing,5374976,15235,0,0,0,0,2,651,11,253,11,253
37041,Playing,5320704,15081,0,0,0,0,2,652,161,253,161,253
37292,Playing,5341184,15139,0,0,0,0,2,656,95,253,95,253
37541,Playing,5361664,15197,0,0,0,0,2,660,0,253,0,253
37790,Playing,5362688,15200,0,0,0,0,2,663,94,253,94,253
38040,Playing,5355520,15180,0,0,0,0,2,666,0,253,0,253
38290,Playing,5348352,15159,0,0,0,0,2,669,0,253,0,253
38542,Playing,5313536,15061,0,0,0,0,2,674,92,253,93,253
38795,Playing,5334016,15119,0,0,0,0,2,678,95,253,95,253
39045,Playing,5362688,15200,0,0,0,0,2,682,0,253,0,253
39292,Playing,5300224,15023,0,0,0,0,2,683,173,253,173,253
