t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
51,Off,0,0,0,0,0,0,1,0,0,0,0,0
254,Off,0,0,0,0,0,0,1,0,0,0,0,0
508,Off,0,0,0,0,0,0,1,0,0,0,0,0
763,Off,0,0,0,0,0,0,1,0,0,0,0,0
1017,Off,0,0,0,0,0,0,1,0,0,0,0,0
1274,Playing,1891328,5360,0,0,0,0,1,79,0,152,0,152
1527,Playing,5644288,15998,0,0,0,0,1,231,0,152,0,152
1781,Playing,5609472,15899,0,0,0,0,1,233,0,175,0,175
2036,Playing,5602304,15879,0,0,0,0,1,236,174,175,174,175
2289,Playing,5622784,15937,0,0,0,0,1,240,175,175,175,175
2542,Playing,5643264,15995,0,0,0,0,1,244,0,175,0,175
2795,Playing,5671936,16076,0,0,0,0,1,248,0,180,0,180
3049,Playing,5609472,15899,0,0,0,0,1,249,176,180,176,180
3252,Playing,5646336,16004,0,0,0,0,1,253,0,180,0,180
3505,Playing,5639168,15984,0,0,0,0,1,256,0,180,0,180
3758,Playing,5604352,15885,0,0,0,0,1,258,0,180,0,180
4011,Playing,5624832,15943,0,0,0,0,1,262,0,180,0,180
4263,Playing,5598208,15867,0,0,0,0,1,267,94,180,95,180
4517,Playing,5618688,15925,0,0,0,0,1,271,0,180,0,180
4770,Playing,5583872,15827,0,0,0,0,1,273,0,180,0,180
5023,Playing,5576704,15806,0,0,0,0,1,276,176,180,176,180
5276,Playing,5597184,15865,0,0,0,0,1,280,0,180,0,180
5529,Playing,5625856,15946,0,0,0,0,1,284,0,180,0,180
5781,Playing,5618688,15925,0,0,0,0,1,287,92,180,92,180
6036,Playing,5611520,15905,0,0,0,0,1,290,0,180,0,180
6290,Playing,5604352,15885,0,0,0,0,1,293,0,180,0,180
6542,Playing,5597184,15865,0,0,0,0,1,296,0,180,0,180
6795,Playing,5562368,15766,0,0,0,0,1,298,0,180,0,180
7049,Playing,5563392,15769,0,0,0,0,1,304,0,180,14,180
7251,Playing,5572608,15795,0,0,0,0,1,307,96,180,96,180
7505,Playing,5593088,15853,0,0,0,0,1,311,0,180,0,180
7758,Playing,5585920,15833,0,0,0,0,1,314,94,180,94,180
8012,Playing,5578752,15812,0,0,0,0,1,317,0,180,0,180
