t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
253,Off,0,0,0,0,0,0,1,0,0,0,0,0
506,Off,0,0,0,0,0,0,1,0,0,0,0,0
761,Off,0,0,0,0,0,0,1,0,0,0,0,0
1015,Off,442368,1253,0,0,0,0,1,28,0,155,0,158
1268,Playing,1609728,4562,0,0,0,0,1,78,0,155,0,158
1523,Playing,5362688,15200,0,0,0,0,1,230,0,155,0,158
1777,Playing,5355520,15180,0,0,0,0,1,233,0,175,0,175
2028,Playing,5376000,15238,0,0,0,0,1,237,175,175,175,175
2281,Playing,5368832,15217,0,0,0,0,1,240,175,175,175,175
2533,Playing,5342208,15142,0,0,0,0,1,242,0,183,0,184
2786,Playing,5362688,15200,0,0,0,0,1,246,0,183,0,184
3040,Playing,5383168,15258,0,0,0,0,1,250,0,183,0,184
3294,Playing,5376000,15238,0,0,0,0,1,253,0,183,0,184
3503,Playing,5357568,15185,0,0,0,0,1,255,13,183,13,184
3762,Playing,5378048,15243,0,0,0,0,1,259,17,183,17,184
4016,Playing,5370880,15223,0,0,0,0,1,262,0,183,0,184
4268,Playing,5363712,15203,0,0,0,0,1,268,14,183,14,184
4520,Playing,5356544,15182,0,0,0,0,1,271,0,183,0,184
4772,Playing,5329920,15107,0,0,0,0,1,273,0,183,0,184
5026,Playing,5378048,15243,0,0,0,0,1,278,0,183,0,184
5280,Playing,5370880,15223,0,0,0,0,1,281,2,183,3,184
5534,Playing,5363712,15203,0,0,0,0,1,284,0,183,1,184
5786,Playing,5328896,15104,0,0,0,0,1,286,0,183,0,184
6040,Playing,5329920,15107,0,0,0,0,1,289,94,183,94,184
6293,Playing,5350400,15165,0,0,0,0,1,293,92,183,92,184
6546,Playing,5370880,15223,0,0,0,0,1,297,2,183,2,184
6798,Playing,5391360,15281,0,0,0,0,1,301,1,183,1,184
7001,Playing,5317632,15072,0,0,0,0,1,304,0,183,16,184
7253,Playing,5346304,15153,0,0,0,0,1,308,0,183,0,184
7507,Playing,5339136,15133,0,0,0,0,1,311,96,183,96,184
7760,Playing,5359616,15191,0,0,0,0,1,315,0,183,0,184
8013,Playing,5297152,15014,0,0,0,0,1,316,173,183,174,184
8266,Playing,5317632,15072,0,0,0,0,1,320,178,183,178,184
8519,Playing,5338112,15130,0,0,0,0,1,324,174,183,174,184
8772,Playing,5303296,15032,0,0,0,0,1,326,0,183,0,184
9023,Playing,5304320,15034,0,0,0,0,1,329,173,183,173,184
9276,Playing,5324800,15092,0,0,0,0,1,333,0,183,0,184
