t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
504,Off,0,0,0,0,0,0,1,2,0,19,0,0
764,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
1015,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
1269,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
1527,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
1791,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
2044,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
2253,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
2511,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
2773,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
3034,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
3302,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
3518,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
3777,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
4038,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
4293,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
4514,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
4773,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
5036,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
5265,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
5531,Reconnecting,0,0,0,0,0,0,1,6,9,117,0,0
5793,Reconnecting,0,0,0,0,0,0,2,6,9,117,0,0
6051,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
6257,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
6513,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
6782,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
7043,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
7298,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
7502,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
7762,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
8018,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
8279,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
8533,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
8788,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
9040,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
9301,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
9503,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
9756,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
10009,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
10261,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
10514,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
10768,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
11021,Reconnecting,0,0,0,0,0,0,2,12,3,117,0,0
11273,Reconnecting,0,0,0,0,0,0,3,12,3,117,0,0
11525,Reconnecting,46080,130,0,0,0,0,3,21,0,118,0,143
11778,Reconnecting,792576,2246,0,0,0,0,3,35,52,119,52,143
12031,Reconnecting,1299456,3683,0,0,0,0,3,48,0,119,0,143
12283,Playing,1796096,5090,0,0,0,0,3,62,4,119,4,143
12536,Playing,1936384,5488,0,0,0,0,3,67,27,119,28,143
12789,Playing,1938432,5494,0,0,0,0,3,70,33,267,33,267
13044,Playing,1922048,5447,0,0,0,0,3,72,0,267,0,267
13297,Playing,1933312,5479,0,0,0,0,3,75,0,267,0,267
13500,Playing,1878016,5323,0,0,0,0,3,76,125,267,125,267
13752,Playing,1879040,5326,0,0,0,0,3,79,79,267,79,267
14011,Playing,1854464,5256,0,0,0,0,3,82,0,267,0,267
