t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
54,Off,0,0,0,0,0,0,1,0,0,0,0,0
300,Off,0,0,0,0,0,0,1,0,0,0,0,0
500,Off,0,0,0,0,0,0,1,0,0,0,0,0
751,Off,0,0,0,0,0,0,1,0,0,0,0,0
1089,Off,0,0,0,0,0,0,1,0,0,0,0,0
1299,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
1607,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
1851,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
2003,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
2349,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
2510,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
2775,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
3009,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
3282,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
3516,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
3803,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
4122,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
4259,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
4511,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
4757,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
5005,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
5266,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
5562,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
5812,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
6000,Reconnecting,0,0,0,0,0,0,1,27,0,3,0,0
6280,Reconnecting,0,0,0,0,0,0,2,27,0,3,0,0
6534,Reconnecting,0,0,0,0,0,0,2,27,0,3,0,0
6812,Reconnecting,0,0,0,0,0,0,2,27,0,3,0,0
7053,Reconnecting,0,0,0,0,0,0,2,36,0,3,0,0
7258,Reconnecting,0,0,0,0,0,0,2,54,0,153,0,0
7509,Reconnecting,0,0,0,0,0,0,2,54,0,153,0,0
7783,Reconnecting,0,0,0,0,0,0,2,54,0,153,0,0
8036,Reconnecting,0,0,0,0,0,0,2,54,0,153,0,0
8282,Reconnecting,0,0,0,0,0,0,2,54,0,153,0,0
8537,Reconnecting,0,0,0,0,0,0,2,54,0,153,0,0
8782,Reconnecting,0,0,0,0,0,0,2,54,0,153,0,0
