t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
254,Off,0,0,0,0,0,0,1,0,0,0,0,0
508,Off,0,0,0,0,0,0,1,0,0,0,0,0
761,Off,0,0,0,0,0,0,1,0,0,0,0,0
1014,Off,0,0,0,0,0,0,1,0,0,0,0,0
1266,Playing,1484800,4208,0,0,0,0,1,79,0,159,0,159
1522,Playing,3247104,9203,0,0,0,0,1,150,0,159,0,159
1775,Playing,5202944,14747,0,0,0,0,1,233,0,167,0,168
2029,Playing,5223424,14805,0,0,0,0,1,237,0,173,0,174
2282,Playing,5160960,14628,0,0,0,0,1,238,94,173,94,174
2534,Playing,5189632,14709,0,0,0,0,1,242,0,179,0,179
2788,Playing,5182464,14689,0,0,0,0,1,245,173,179,173,179
3043,Playing,5230592,14825,0,0,0,0,1,250,0,179,0,179
3279,Playing,5176320,14672,0,0,0,0,1,251,111,179,111,179
3532,Playing,5196800,14730,0,0,0,0,1,255,0,179,0,179
3785,Playing,5189632,14709,0,0,0,0,1,258,178,179,179,179
4039,Playing,5210112,14767,0,0,0,0,1,262,179,179,179,179
4292,Playing,5166080,14643,0,0,0,0,1,267,175,179,13,179
4546,Playing,5140480,14570,0,0,0,0,1,269,0,179,0,179
4799,Playing,5169152,14651,0,0,0,0,1,273,177,179,177,179
5001,Playing,5150720,14599,0,0,0,0,1,275,0,179,0,179
5255,Playing,5143552,14579,0,0,0,0,1,278,95,179,95,179
5508,Playing,5191680,14715,0,0,0,0,1,283,0,181,0,181
5761,Playing,5184512,14695,0,0,0,0,1,286,0,181,0,181
6014,Playing,5177344,14675,0,0,0,0,1,289,0,181,0,181
6268,Playing,5170176,14654,0,0,0,0,1,292,13,181,13,181
6520,Playing,5171200,14657,0,0,0,0,1,295,12,181,12,181
6772,Playing,5164032,14637,0,0,0,0,1,298,94,181,94,181
7025,Playing,5129216,14538,0,0,0,0,1,300,0,181,0,181
7276,Playing,5122048,14518,0,0,0,0,1,306,85,199,85,199
7529,Playing,5114880,14497,0,0,0,0,1,309,95,199,95,199
7782,Playing,5163008,14634,0,0,0,0,1,314,0,199,0,199
8035,Playing,5164032,14637,0,0,0,0,1,317,0,333,0,334
8288,Playing,5184512,14695,0,0,0,0,1,321,0,333,0,334
8542,Playing,5122048,14518,0,0,0,0,1,322,96,333,96,334
8794,Playing,5142528,14576,0,0,0,0,1,326,0,333,0,334
9048,Playing,5163008,14634,0,0,0,0,1,330,0,333,0,334
9250,Playing,5125120,14526,0,0,0,0,1,331,95,333,95,334
9503,Playing,5145600,14585,0,0,0,0,1,335,174,333,174,334
9756,Playing,5156864,14616,0,0,0,0,1,341,0,333,13,334
10007,Playing,5131264,14544,0,0,0,0,1,344,0,333,0,334
10260,Playing,5096448,14445,0,0,0,0,1,346,0,333,0,334
10512,Playing,5089280,14425,0,0,0,0,1,349,93,333,93,334
10767,Playing,5109760,14483,0,0,0,0,1,353,0,333,0,334
11021,Playing,5138432,14564,0,0,0,0,1,357,194,333,194,334
11274,Playing,5158912,14622,0,0,0,0,1,361,0,333,0,334
11528,Playing,5096448,14445,0,0,0,0,1,362,83,333,83,334
11780,Playing,5116928,14503,0,0,0,0,1,366,0,333,0,334
12032,Playing,5137408,14561,0,0,0,0,1,370,0,333,0,334
12285,Playing,5130240,14541,0,0,0,0,1,373,0,333,0,334
12536,Playing,5131264,14544,0,0,0,0,1,376,175,333,176,334
12789,Playing,5096448,14445,0,0,0,0,1,381,0,333,0,334
13041,Playing,5089280,14425,0,0,0,0,1,384,96,333,96,334
13295,Playing,5109760,14483,0,0,0,0,1,388,0,333,0,334
13549,Playing,5130240,14541,0,0,0,0,1,392,0,333,0,334
13751,Playing,5084160,14410,0,0,0,0,1,393,98,333,98,334
14004,Playing,5085184,14413,0,0,0,0,1,396,94,333,94,334
14258,Playing,5105664,14471,0,0,0,0,1,400,174,333,174,334
14510,Playing,5070848,14373,0,0,0,0,1,402,0,333,0,334
14763,Playing,5091328,14431,0,0,0,0,1,406,15,333,15,334
15017,Playing,5084160,14410,0,0,0,0,1,409,94,333,94,334
15270,Playing,5104640,14468,0,0,0,0,1,413,175,333,175,334
15523,Playing,5060608,14344,0,0,0,0,1,417,0,333,11,334
15776,Playing,5043200,14294,0,0,0,0,1,420,94,333,94,334
16029,Playing,5063680,14352,0,0,0,0,1,424,0,333,0,334
16282,Playing,5084160,14410,0,0,0,0,1,428,0,333,0,334
16534,Playing,5076992,14390,0,0,0,0,1,431,176,333,176,334
16787,Playing,5042176,14291,0,0,0,0,1,433,0,333,0,334
17040,Playing,5062656,14349,0,0,0,0,1,437,0,333,0,334
17293,Playing,5063680,14352,0,0,0,0,1,440,0,333,0,334
17545,Playing,5111808,14489,0,0,0,0,1,445,0,333,0,334
17799,Playing,5104640,14468,0,0,0,0,1,448,0,333,0,334
18001,Playing,5086208,14416,0,0,0,0,1,450,0,333,0,334
18255,Playing,5069824,14370,0,0,0,0,1,456,0,333,0,334
18507,Playing,5070848,14373,0,0,0,0,1,459,2,333,2,334
18759,Playing,5036032,14274,0,0,0,0,1,461,0,333,0,334
19012,Playing,5028864,14254,0,0,0,0,1,464,0,333,0,334
19266,Playing,5049344,14312,0,0,0,0,1,468,0,333,0,334
19519,Playing,5042176,14291,0,0,0,0,1,471,174,333,174,334
19773,Playing,5007360,14193,0,0,0,0,1,473,0,333,0,334
20025,Playing,5036032,14274,0,0,0,0,1,477,96,333,96,334
20285,Playing,5048320,14309,0,0,0,0,1,481,0,333,0,334
20539,Playing,5041152,14288,0,0,0,0,1,484,0,333,0,334
20792,Playing,5042176,14291,0,0,0,0,1,487,179,333,179,334
21044,Playing,5035008,14271,0,0,0,0,1,490,0,333,0,334
21299,Playing,4990976,14146,0,0,0,0,1,495,0,333,0,334
21501,Playing,5027840,14251,0,0,0,0,1,499,16,333,16,334
21754,Playing,4993024,14152,0,0,0,0,1,501,0,333,0,334
22008,Playing,5013504,14210,0,0,0,0,1,505,0,333,0,334
22259,Playing,5014528,14213,0,0,0,0,1,508,0,333,0,334
22512,Playing,5007360,14193,0,0,0,0,1,511,0,333,0,334
22765,Playing,5027840,14251,0,0,0,0,1,515,18,333,18,334
23019,Playing,5048320,14309,0,0,0,0,1,519,0,333,0,334
23272,Playing,5041152,14288,0,0,0,0,1,522,99,333,99,334
23525,Playing,5006336,14190,0,0,0,0,1,524,1,333,1,334
23779,Playing,4999168,14169,0,0,0,0,1,527,94,333,94,334
24031,Playing,5018624,14225,0,0,0,0,1,534,13,333,13,334
24283,Playing,4956160,14048,0,0,0,0,1,535,182,333,182,334
24537,Playing,4976640,14106,0,0,0,0,1,539,0,333,0,334
24789,Playing,4969472,14085,0,0,0,0,1,542,178,333,178,334
25041,Playing,4989952,14143,0,0,0,0,1,546,0,333,0,334
25294,Playing,4982784,14123,0,0,0,0,1,549,0,333,0,334
25548,Playing,4947968,14024,0,0,0,0,1,551,177,333,177,334
25751,Playing,4993024,14152,0,0,0,0,1,555,177,333,177,334
26004,Playing,4958208,14053,0,0,0,0,1,557,0,333,0,334
26257,Playing,4951040,14033,0,0,0,0,1,560,91,333,91,334
26511,Playing,4971520,14091,0,0,0,0,1,564,175,333,175,334
26764,Playing,4964352,14071,0,0,0,0,1,570,0,333,0,334
27018,Playing,4965376,14074,0,0,0,0,1,573,1,333,1,334
27272,Playing,4930560,13975,0,0,0,0,1,575,0,333,0,334
27524,Playing,4951040,14033,0,0,0,0,1,579,0,333,0,334
27778,Playing,4943872,14013,0,0,0,0,1,582,176,333,176,334
28030,Playing,4964352,14071,0,0,0,0,1,586,0,333,0,334
28282,Playing,4984832,14129,0,0,0,0,1,590,0,333,0,334
28536,Playing,4922368,13952,0,0,0,0,1,591,180,333,180,334
28789,Playing,4951040,14033,0,0,0,0,1,595,0,333,0,334
29042,Playing,4971520,14091,0,0,0,0,1,599,0,333,0,334
29293,Playing,4964352,14071,0,0,0,0,1,602,96,333,96,334
29545,Playing,4929536,13972,0,0,0,0,1,607,0,333,12,334
29798,Playing,4922368,13952,0,0,0,0,1,610,1,333,1,334
30000,Playing,4967424,14080,0,0,0,0,1,614,0,333,0,334
30253,Playing,4904960,13902,0,0,0,0,1,615,99,333,99,334
30508,Playing,4897792,13882,0,0,0,0,1,618,98,333,98,334
30760,Playing,4945920,14019,0,0,0,0,1,623,0,333,0,334
31014,Playing,4966400,14077,0,0,0,0,1,627,0,333,0,334
31268,Playing,4959232,14056,0,0,0,0,1,630,1,333,1,334
31521,Playing,4904960,13902,0,0,0,0,1,631,94,333,94,334
31774,Playing,4925440,13960,0,0,0,0,1,635,14,333,14,334
32028,Playing,4918272,13940,0,0,0,0,1,638,95,333,95,334
32281,Playing,4938752,13998,0,0,0,0,1,645,0,333,13,334
32535,Playing,4876288,13821,0,0,0,0,1,646,94,333,94,334
32789,Playing,4896768,13879,0,0,0,0,1,650,0,333,0,334
33042,Playing,4917248,13937,0,0,0,0,1,654,0,333,0,334
33294,Playing,4918272,13940,0,0,0,0,1,657,0,333,0,334
33548,Playing,4911104,13920,0,0,0,0,1,660,97,333,97,334
33800,Playing,4876288,13821,0,0,0,0,1,662,0,333,0,334
34002,Playing,4913152,13926,0,0,0,0,1,666,0,333,0,334
34255,Playing,4878336,13827,0,0,0,0,1,668,0,333,0,334
34506,Playing,4898816,13885,0,0,0,0,1,672,0,333,0,334
34759,Playing,4899840,13888,0,0,0,0,1,675,0,333,0,334
35011,Playing,4920320,13946,0,0,0,0,1,679,0,333,0,334
35264,Playing,4913152,13926,0,0,0,0,1,685,0,333,0,334
35518,Playing,4850688,13749,0,0,0,0,1,686,173,333,173,334
35771,Playing,4871168,13807,0,0,0,0,1,690,0,333,0,334
36024,Playing,4891648,13865,0,0,0,0,1,694,0,333,0,334
36279,Playing,4892672,13868,0,0,0,0,1,697,0,333,0,334
36533,Playing,4885504,13847,0,0,0,0,1,700,176,333,176,334
36785,Playing,4850688,13749,0,0,0,0,1,702,0,333,0,334
37039,Playing,4871168,13807,0,0,0,0,1,706,173,333,173,334
37292,Playing,4919296,13943,0,0,0,0,1,711,0,333,0,334
37545,Playing,4884480,13844,0,0,0,0,1,713,175,333,175,334
37798,Playing,4904960,13902,0,0,0,0,1,717,0,333,0,334
38000,Playing,4867072,13795,0,0,0,0,1,721,1,333,1,334
38252,Playing,4859904,13775,0,0,0,0,1,724,0,333,0,334
38503,Playing,4825088,13676,0,0,0,0,1,726,0,333,0,334
38756,Playing,4845568,13734,0,0,0,0,1,730,0,333,0,334
39010,Playing,4866048,13792,0,0,0,0,1,734,0,333,0,334
39262,Playing,4858880,13772,0,0,0,0,1,737,175,333,175,334
