t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
51,Off,0,0,0,0,0,0,1,0,0,0,0,0
254,Off,0,0,0,0,0,0,1,0,0,0,0,0
507,Off,0,0,0,0,0,0,1,0,0,0,0,0
760,Off,0,0,0,0,0,0,1,0,0,0,0,0
1012,Off,0,0,0,0,0,0,1,0,0,0,0,0
1265,Off,0,0,0,0,0,0,1,0,0,0,0,0
1517,Off,0,0,0,0,0,0,1,0,0,0,0,0
1772,Playing,1642496,4655,0,0,0,0,1,79,0,157,0,157
2025,Playing,3552256,10068,0,0,0,0,1,158,0,158,0,158
2277,Playing,5368832,15217,0,0,0,0,1,233,0,158,0,158
2529,Playing,5361664,15197,0,0,0,0,1,236,0,174,0,174
2783,Playing,5299200,15020,0,0,0,0,1,237,174,174,174,174
3045,Playing,5347328,15156,0,0,0,0,1,242,0,175,0,175
3295,Playing,5340160,15136,0,0,0,0,1,245,0,175,0,175
3544,Playing,5332992,15116,0,0,0,0,1,248,98,175,98,175
3796,Playing,5298176,15017,0,0,0,0,1,250,0,176,0,176
4047,Playing,5326848,15098,0,0,0,0,1,254,0,177,0,177
4296,Playing,5347328,15156,0,0,0,0,1,258,0,177,0,177
4546,Playing,5284864,14979,0,0,0,0,1,259,96,177,96,177
4795,Playing,5285888,14982,0,0,0,0,1,262,0,177,0,177
5044,Playing,5306368,15040,0,0,0,0,1,269,0,258,0,258
5293,Playing,5299200,15020,0,0,0,0,1,272,0,258,0,258
5541,Playing,5272576,14944,0,0,0,0,1,274,0,258,0,258
5793,Playing,5265408,14924,0,0,0,0,1,277,92,258,92,258
6043,Playing,5285888,14982,0,0,0,0,1,281,89,258,89,258
6292,Playing,5286912,14985,0,0,0,0,1,284,0,258,0,258
6540,Playing,5335040,15121,0,0,0,0,1,289,0,258,0,258
6789,Playing,5272576,14944,0,0,0,0,1,290,93,258,93,258
7037,Playing,5301248,15026,0,0,0,0,1,294,0,258,0,258
7287,Playing,5321728,15084,0,0,0,0,1,298,0,258,0,258
7536,Playing,5314560,15063,0,0,0,0,1,301,0,258,0,258
7783,Playing,5260288,14910,0,0,0,0,1,305,0,258,0,258
8034,Playing,5280768,14968,0,0,0,0,1,309,0,258,0,258
8286,Playing,5273600,14947,0,0,0,0,1,312,0,258,0,258
