t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
51,Off,0,0,0,0,0,0,1,0,0,0,0,0
254,Off,0,0,0,0,0,0,1,0,0,0,0,0
507,Off,0,0,0,0,0,0,1,0,0,0,0,0
760,Off,0,0,0,0,0,0,1,0,0,0,0,0
1013,Off,0,0,0,0,0,0,1,0,0,0,0,0
1267,Off,1281024,3631,0,0,0,0,1,79,0,158,0,158
1521,Playing,3517440,9970,0,0,0,0,1,168,0,159,0,159
1773,Playing,5021696,14233,0,0,0,0,1,232,159,159,159,159
2030,Playing,5069824,14370,0,0,0,0,1,237,0,177,0,177
2283,Playing,5035008,14271,0,0,0,0,1,239,175,177,175,177
2535,Playing,5083136,14407,0,0,0,0,1,244,0,177,0,177
2789,Playing,5084160,14410,0,0,0,0,1,247,0,177,0,177
3043,Playing,5021696,14233,0,0,0,0,1,248,175,177,175,177
3297,Playing,5069824,14370,0,0,0,0,1,253,0,179,0,179
3549,Playing,5090304,14428,0,0,0,0,1,257,0,179,0,179
3753,Playing,5044224,14297,0,0,0,0,1,258,175,179,176,179
4006,Playing,5064704,14355,0,0,0,0,1,262,0,179,0,179
4259,Playing,5029888,14257,0,0,0,0,1,267,0,179,0,179
4511,Playing,5003264,14181,0,0,0,0,1,269,0,179,0,179
4764,Playing,5023744,14239,0,0,0,0,1,273,0,179,0,179
5017,Playing,5016576,14219,0,0,0,0,1,276,3,179,3,179
5270,Playing,5009408,14199,0,0,0,0,1,279,179,179,179,179
5522,Playing,4974592,14100,0,0,0,0,1,281,13,179,14,179
5776,Playing,4995072,14158,0,0,0,0,1,285,95,179,96,179
6028,Playing,5023744,14239,0,0,0,0,1,289,14,179,14,179
6281,Playing,5016576,14219,0,0,0,0,1,292,0,179,0,179
6535,Playing,5037056,14277,0,0,0,0,1,296,0,179,0,179
6789,Playing,5002240,14178,0,0,0,0,1,298,0,179,0,179
7042,Playing,4995072,14158,0,0,0,0,1,301,0,179,0,179
7296,Playing,4987904,14138,0,0,0,0,1,307,0,179,0,179
7548,Playing,5008384,14196,0,0,0,0,1,311,0,179,0,179
7751,Playing,5053440,14323,0,0,0,0,1,315,16,179,16,179
8003,Playing,4990976,14146,0,0,0,0,1,316,176,179,176,179
