t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
506,Off,0,0,0,0,0,0,1,0,0,0,0,0
759,Off,0,0,0,0,0,0,1,0,0,0,0,0
1014,Off,0,0,0,0,0,0,1,0,0,0,0,0
1266,Off,55296,156,0,0,0,0,1,6,0,0,0,0
1519,Off,506880,1436,0,0,0,0,1,20,0,207,0,207
1772,Off,1225728,3474,0,0,0,0,1,47,0,207,0,207
2026,Playing,1676288,4751,0,0,0,0,1,67,11,207,11,207
2279,Playing,2598912,7366,0,0,0,0,1,100,226,226,226,226
2532,Playing,2508800,7111,0,0,0,0,1,100,226,226,226,226
2785,Playing,3192832,9049,0,0,0,0,1,129,0,401,0,401
3037,Playing,3102720,8794,0,0,0,0,1,129,0,401,0,401
3290,Playing,3196928,9061,0,0,0,0,1,136,1,401,1,401
3543,Playing,3245056,9198,0,0,0,0,1,143,0,406,0,406
3795,Playing,3154944,8942,0,0,0,0,1,143,0,406,0,406
4047,Playing,3073024,8710,0,0,0,0,1,143,0,406,0,406
4250,Playing,2999296,8501,0,0,0,0,1,143,0,406,0,406
4504,Playing,3167232,8977,0,0,0,0,1,153,0,767,0,767
4756,Playing,3160064,8957,0,0,0,0,1,156,3,767,3,767
5009,Playing,3069952,8701,0,0,0,0,1,156,3,767,3,767
5264,Playing,3081216,8733,0,0,0,0,1,159,4,767,4,767
5518,Playing,2999296,8501,0,0,0,0,1,159,4,767,4,767
5771,Playing,2909184,8245,0,0,0,0,1,159,4,767,4,767
6023,Playing,2819072,7990,0,0,0,0,1,159,4,767,4,767
6276,Playing,2784256,7891,0,0,0,0,1,161,0,1207,0,1208
6529,Playing,2915328,8263,0,0,0,0,1,168,0,1207,0,1208
6802,Playing,2817024,7984,0,0,0,0,1,168,0,1207,0,1208
7006,Playing,2751488,7799,0,0,0,0,1,168,0,1207,0,1208
7258,Playing,2661376,7543,0,0,0,0,1,168,0,1207,0,1208
7511,Playing,2838528,8045,0,0,0,0,1,177,10,1207,10,1208
7765,Playing,2748416,7790,0,0,0,0,1,177,10,1207,10,1208
8018,Playing,2658304,7534,0,0,0,0,1,177,10,1207,10,1208
8271,Playing,2614272,7410,0,0,0,0,1,179,0,1207,0,1208
8525,Playing,2670592,7569,0,0,0,0,1,183,10,1207,10,1208
8777,Playing,2580480,7314,0,0,0,0,1,183,10,1207,10,1208
9029,Playing,2490368,7058,0,0,0,0,1,183,10,1207,10,1208
9281,Playing,2584576,7325,0,0,0,0,1,189,2,1207,2,1208
9535,Playing,2586624,7331,0,0,0,0,1,192,13,1207,13,1208
9788,Playing,2496512,7076,0,0,0,0,1,192,13,1207,13,1208
10040,Playing,2488320,7053,0,0,0,0,1,195,14,1207,14,1208
10294,Playing,2398208,6797,0,0,0,0,1,195,14,1207,14,1208
10547,Playing,2308096,6542,0,0,0,0,1,195,14,1207,14,1208
10750,Playing,2409472,6829,0,0,0,0,1,201,13,1207,14,1208
11002,Playing,2319360,6574,0,0,0,0,1,201,13,1207,14,1208
11255,Playing,2321408,6579,0,0,0,0,1,204,13,1207,13,1208
11508,Playing,2239488,6347,0,0,0,0,1,204,13,1207,13,1208
11760,Playing,2149376,6092,0,0,0,0,1,204,13,1207,13,1208
12014,Playing,2059264,5836,0,0,0,0,1,204,13,1207,13,1208
12267,Playing,1969152,5581,0,0,0,0,1,204,13,1207,13,1208
12521,Playing,2155520,6109,0,0,0,0,1,213,0,1224,0,1224
12775,Playing,2065408,5854,0,0,0,0,1,213,0,1224,0,1224
13026,Playing,2058240,5834,0,0,0,0,1,216,0,1224,0,1224
13280,Playing,2059264,5836,0,0,0,0,1,219,170,1224,170,1224
13535,Playing,1969152,5581,0,0,0,0,1,219,170,1224,170,1224
13788,Playing,1879040,5326,0,0,0,0,1,219,170,1224,170,1224
