t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
506,Off,0,0,0,0,0,0,1,0,0,0,0,0
759,Off,0,0,0,0,0,0,1,0,0,0,0,0
1011,Off,0,0,0,0,0,0,1,22,0,7,0,0
1265,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
1518,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
1771,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
2025,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
2278,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
2530,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
2782,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
3036,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
3289,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
3542,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
3794,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
4047,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
4300,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
4504,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
4757,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
5009,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
5262,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
5514,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
5767,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
6018,Reconnecting,0,0,0,0,0,0,1,29,0,12,0,0
6270,Reconnecting,0,0,0,0,0,0,2,29,0,12,0,0
6524,Reconnecting,0,0,0,0,0,0,2,29,0,12,0,0
6777,Reconnecting,46080,130,0,0,0,0,2,74,0,16,0,21
7028,Reconnecting,1262592,3578,0,0,0,0,2,139,19,73,19,73
7281,Reconnecting,1317888,3735,0,0,0,0,2,144,0,131,0,131
7535,Reconnecting,1345536,3813,0,0,0,0,2,146,0,166,0,166
7789,Reconnecting,1391616,3944,0,0,0,0,2,151,0,166,0,166
8041,Reconnecting,1400832,3970,0,0,0,0,2,155,11,166,11,166
8295,Playing,1353728,3837,0,0,0,0,2,159,108,166,109,166
8547,Playing,1300480,3686,0,0,0,0,2,163,0,166,0,166
8750,Playing,1281024,3631,0,0,0,0,2,167,0,175,0,175
9002,Playing,1200128,3401,0,0,0,0,2,171,161,175,161,175
9255,Playing,1146880,3250,0,0,0,0,2,176,113,175,113,175
9510,Playing,1056768,2995,0,0,0,0,2,180,16,175,16,175
9763,Playing,985088,2792,0,0,0,0,2,186,63,175,63,175
10016,Playing,913408,2589,0,0,0,0,2,188,0,175,0,175
10269,Playing,849920,2409,0,0,0,0,2,193,0,175,0,175
10523,Playing,787456,2232,0,0,0,0,2,198,0,175,0,175
10775,Playing,715776,2028,0,0,0,0,2,203,62,175,62,175
11028,Playing,634880,1799,0,0,0,0,2,208,0,175,0,175
11281,Playing,563200,1596,0,0,0,0,2,214,0,175,0,175
11534,Playing,482304,1367,0,0,0,0,2,218,12,175,12,175
11787,Playing,410624,1163,0,0,0,0,2,223,0,175,0,175
12040,Playing,348160,986,0,0,0,0,2,226,61,175,61,175
12294,Playing,285696,809,0,0,0,0,2,231,0,175,0,175
12546,Playing,212992,603,0,0,0,0,2,236,13,175,13,175
12799,Playing,159744,452,0,0,0,0,2,241,0,175,0,175
13002,Playing,95232,269,0,0,0,0,2,245,11,175,11,175
13254,Playing,23552,66,0,0,0,0,2,251,63,175,63,175
13507,Buffering,18432,52,1,0,0,0,2,254,0,175,0,175
13759,Buffering,55296,156,1,0,0,0,2,259,0,175,0,175
14012,Buffering,55296,156,1,0,0,0,2,263,0,175,0,175
14265,Buffering,82944,235,1,0,0,0,2,268,0,175,0,175
