t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
254,Off,0,0,0,0,0,0,1,0,0,0,0,0
507,Off,0,0,0,0,0,0,1,0,0,0,0,0
761,Off,0,0,0,0,0,0,1,0,0,0,0,0
1013,Off,0,0,0,0,0,0,1,0,0,0,0,0
1265,Off,0,0,0,0,0,0,1,0,0,0,0,0
1517,Off,0,0,0,0,0,0,1,2,0,0,0,0
1772,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
2025,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
2278,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
2532,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
2785,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
3044,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
3294,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
3543,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
3797,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
4045,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
4294,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
4543,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
4796,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
5043,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
5291,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
5542,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
5796,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
6043,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
6296,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
6544,Reconnecting,0,0,0,0,0,0,1,9,0,202,0,0
6798,Reconnecting,0,0,0,0,0,0,2,9,0,202,0,0
7048,Reconnecting,0,0,0,0,0,0,2,9,0,202,0,0
7306,Reconnecting,0,0,0,0,0,0,2,9,0,202,0,0
7556,Reconnecting,0,0,0,0,0,0,2,9,0,202,0,0
7818,Reconnecting,0,0,0,0,0,0,2,9,0,202,0,0
8058,Reconnecting,147456,384,0,0,0,0,2,13,197,202,197,197
8306,Reconnecting,175104,456,0,0,0,0,2,14,123,202,123,197
8560,Reconnecting,488448,1272,0,0,0,0,2,17,0,326,0,326
8808,Reconnecting,488448,1272,0,0,0,0,2,17,0,326,0,326
9070,Reconnecting,820224,2136,0,0,0,0,2,20,1,326,1,326
9254,Reconnecting,1161216,3024,0,0,0,0,2,23,0,326,1,326
9569,Reconnecting,1502208,3912,0,0,0,0,2,26,0,331,0,332
9758,Reconnecting,1502208,3912,0,0,0,0,2,26,0,331,0,332
10023,Playing,1753736,4567,0,0,0,0,2,29,2,331,2,332
10277,Playing,1996648,5199,0,0,0,0,2,32,0,331,0,332
10514,Playing,2202392,5735,0,0,0,0,2,34,0,331,0,332
10775,Playing,2104312,5479,0,0,0,0,2,34,0,331,0,332
11040,Playing,2015752,5249,0,0,0,0,2,35,328,331,328,332
11283,Playing,1945016,5065,0,0,0,0,2,36,327,331,327,332
11516,Playing,2049384,5336,0,0,0,0,2,38,0,331,0,332
11786,Playing,2052984,5346,0,0,0,0,2,39,325,331,325,332
12052,Playing,1954904,5090,0,0,0,0,2,39,325,331,325,332
12308,Playing,1995056,5195,0,0,0,0,2,40,327,331,327,332
12558,Playing,1989136,5180,0,0,0,0,2,41,326,331,327,332
12762,Playing,1964184,5115,0,0,0,0,2,43,3,331,3,332
13087,Playing,1839352,4789,0,0,0,0,2,43,3,331,3,332
13332,Playing,1759704,4582,0,0,0,0,2,44,327,331,327,332
13532,Playing,1854264,4828,0,0,0,0,2,45,324,331,325,332
13784,Playing,1848344,4813,0,0,0,0,2,46,325,331,325,332
14031,Playing,1750264,4557,0,0,0,0,2,46,325,331,325,332
14281,Playing,1670312,4349,0,0,0,0,2,47,328,331,328,332
14629,Playing,1702456,4433,0,0,0,0,2,49,3,331,3,332
14809,Playing,1723280,4487,0,0,0,0,2,50,325,331,325,332
15065,Playing,1671280,4352,0,0,0,0,2,51,329,331,329,332
15303,Playing,1573200,4096,0,0,0,0,2,51,329,331,329,332
15541,Playing,1631488,4248,0,0,0,0,2,52,322,331,322,332
15769,Playing,1735864,4520,0,0,0,0,2,54,1,331,1,332
16012,Playing,1646696,4288,0,0,0,0,2,54,1,331,1,332
16281,Playing,1558128,4057,0,0,0,0,2,55,321,331,321,332
16527,Playing,1634856,4257,0,0,0,0,2,57,0,331,0,332
16766,Playing,1601288,4170,0,0,0,0,2,59,4,331,4,332
17016,Playing,1512120,3937,0,0,0,0,2,60,324,331,324,332
17340,Playing,1562392,4068,0,0,0,0,2,62,0,331,0,332
17506,Playing,1491064,3882,0,0,0,0,2,62,0,331,0,332
17827,Playing,1476528,3845,0,0,0,0,2,63,326,331,326,332
18024,Playing,1433144,3732,0,0,0,0,2,64,326,331,326,332
18261,Playing,1343976,3499,0,0,0,0,2,64,326,331,326,332
18511,Playing,1411784,3676,0,0,0,0,2,65,325,331,325,332
18798,Playing,1406160,3661,0,0,0,0,2,66,329,331,329,332
19045,Playing,1335728,3478,0,0,0,0,2,67,326,331,326,332
19310,Playing,1265296,3295,0,0,0,0,2,68,325,331,325,332
19502,Playing,1185048,3086,0,0,0,0,2,68,325,331,325,332
19765,Playing,1252856,3262,0,0,0,0,2,69,326,331,326,332
20035,Playing,1311744,3416,0,0,0,0,2,71,1,331,1,332
20289,Playing,1213664,3160,0,0,0,0,2,72,324,331,324,332
20518,Playing,1133416,2951,0,0,0,0,2,72,324,331,324,332
20758,Playing,1201224,3128,0,0,0,0,2,74,0,331,0,332
21066,Playing,1177472,3066,0,0,0,0,2,75,324,331,325,332
21306,Playing,1115952,2906,0,0,0,0,2,76,327,331,327,332
21557,Playing,1017872,2650,0,0,0,0,2,76,327,331,327,332
21811,Playing,1085680,2827,0,0,0,0,2,77,326,331,326,332
22018,Playing,1180536,3074,0,0,0,0,2,79,0,331,0,332
22278,Playing,1100888,2866,0,0,0,0,2,80,325,331,325,332
22526,Playing,1002800,2611,0,0,0,0,2,80,325,331,325,332
22774,Playing,1089040,2836,0,0,0,0,2,82,0,331,0,332
23022,Playing,1101256,2867,0,0,0,0,2,83,325,331,325,332
23272,Playing,1021608,2660,0,0,0,0,2,84,326,331,326,332
23524,Playing,923520,2405,0,0,0,0,2,84,326,331,326,332
23774,Playing,1018976,2653,0,0,0,0,2,86,0,331,0,332
24025,Playing,1022272,2662,0,0,0,0,2,87,326,331,326,332
24273,Playing,942328,2453,0,0,0,0,2,88,327,331,327,332
24523,Playing,844240,2198,0,0,0,0,2,88,327,331,327,332
24774,Playing,921264,2399,0,0,0,0,2,90,0,331,0,332
25028,Playing,915344,2383,0,0,0,0,2,91,326,331,326,332
25278,Playing,872264,2271,0,0,0,0,2,92,326,331,327,332
25536,Playing,857120,2232,0,0,0,0,2,95,0,331,0,332
25782,Playing,759040,1976,0,0,0,0,2,95,0,331,0,332
26031,Playing,753120,1961,0,0,0,0,2,96,325,331,325,332
26278,Playing,746904,1945,0,0,0,0,2,97,327,331,327,332
26529,Playing,667248,1737,0,0,0,0,2,98,326,331,326,332
26796,Playing,560256,1459,0,0,0,0,2,98,326,331,326,332
27042,Playing,673840,1754,0,0,0,0,2,100,0,331,0,332
27297,Playing,667920,1739,0,0,0,0,2,101,322,331,322,332
27543,Playing,569840,1483,0,0,0,0,2,102,326,331,326,332
27793,Playing,471760,1228,0,0,0,0,2,102,326,331,326,332
28043,Playing,474752,1236,0,0,0,0,2,103,327,331,327,332
28291,Playing,597856,1556,0,0,0,0,2,105,0,331,0,332
28540,Playing,647232,1685,0,0,0,0,2,106,326,331,326,332
28790,Playing,641312,1670,0,0,0,0,2,107,327,331,328,332
29038,Playing,552144,1437,0,0,0,0,2,107,327,331,328,332
29286,Playing,527792,1374,0,0,0,0,2,108,325,331,325,332
29537,Playing,448144,1167,0,0,0,0,2,109,327,331,327,332
29787,Playing,543600,1415,0,0,0,0,2,111,0,331,0,332
30038,Playing,454432,1183,0,0,0,0,2,111,0,331,0,332
30289,Playing,448512,1168,0,0,0,0,2,112,326,331,327,332
30537,Playing,350432,912,0,0,0,0,2,113,326,331,326,332
30786,Playing,436368,1136,0,0,0,0,2,115,0,331,0,332
31035,Playing,338288,880,0,0,0,0,2,115,0,331,0,332
31283,Playing,332368,865,0,0,0,0,2,116,326,331,327,332
31535,Playing,252720,658,0,0,0,0,2,117,326,331,326,332
31785,Playing,329440,857,0,0,0,0,2,118,327,331,327,332
32035,Playing,231360,602,0,0,0,0,2,118,327,331,327,332
32285,Playing,225440,587,0,0,0,0,2,119,326,331,326,332
32533,Playing,191872,499,0,0,0,0,2,120,326,331,326,332
32783,Playing,121136,315,0,0,0,0,2,121,326,331,327,332
33033,Playing,106000,276,0,0,0,0,2,123,0,331,0,332
33281,Playing,109296,284,0,0,0,0,2,124,3,331,3,332
33532,Playing,103376,269,0,0,0,0,2,125,323,331,323,332
33782,Playing,14208,37,0,0,0,0,2,126,328,331,328,332
34031,Buffering,322560,840,1,0,0,0,2,128,0,331,0,332
34281,Buffering,322560,840,1,0,0,0,2,128,0,331,0,332
34531,Buffering,340992,888,1,0,0,0,2,129,326,331,327,332
34780,Buffering,443864,1155,1,1,0,0,2,131,2,331,2,332
35030,Buffering,437944,1140,1,1,0,0,2,132,325,331,325,332
35280,Buffering,339864,885,1,1,0,0,2,132,325,331,325,332
35528,Buffering,296776,772,1,1,0,0,2,133,325,331,325,332
35777,Buffering,207912,541,1,1,0,0,2,134,327,331,327,332
36031,Buffering,312584,814,1,1,0,0,2,136,0,331,0,332
36278,Buffering,214504,558,1,1,0,0,2,136,0,331,0,332
36528,Buffering,217496,566,1,1,0,0,2,137,325,331,326,332
36781,Buffering,137848,358,1,1,0,0,2,138,326,331,326,332
37031,Buffering,224088,583,1,1,0,0,2,140,0,331,0,332
37282,Buffering,126008,328,1,1,0,0,2,140,0,331,0,332
37534,Buffering,129304,336,1,1,0,0,2,141,324,331,324,332
37782,Buffering,49352,128,1,1,0,0,2,142,326,331,326,332
38031,Buffering,175104,456,1,1,0,0,2,144,5,335,5,336
38282,Buffering,267264,696,1,1,0,0,2,145,312,335,312,336
38528,Buffering,267264,696,1,1,0,0,2,145,312,335,312,336
38776,Buffering,313344,816,1,1,0,0,2,146,326,335,326,336
39027,Buffering,416216,1083,1,2,0,0,2,147,327,335,328,336
39300,Buffering,401384,1045,1,2,0,0,2,148,354,354,354,354
39552,Buffering,312216,813,1,2,0,0,2,148,354,354,354,354
39799,Buffering,297080,773,1,2,0,0,2,149,299,354,299,354
