t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
505,Off,0,0,0,0,0,0,1,0,0,0,0,0
758,Off,0,0,0,0,0,0,1,0,0,0,0,0
1012,Off,0,0,0,0,0,0,1,0,0,0,0,0
1265,Playing,1927168,5462,0,0,0,0,1,79,0,161,0,161
1517,Playing,3689472,10457,0,0,0,0,1,150,0,161,0,161
1769,Playing,5645312,16001,0,0,0,0,1,233,0,161,0,161
2023,Playing,5638144,15981,0,0,0,0,1,236,0,175,0,175
2274,Playing,5666816,16062,0,0,0,0,1,240,175,175,175,175
2527,Playing,5604352,15885,0,0,0,0,1,241,175,175,175,175
2780,Playing,5652480,16021,0,0,0,0,1,246,0,175,0,175
3038,Playing,5645312,16001,0,0,0,0,1,249,0,176,0,176
3287,Playing,5665792,16059,0,0,0,0,1,253,0,176,0,176
3538,Playing,5686272,16117,0,0,0,0,1,257,0,176,0,176
3787,Playing,5632000,15963,0,0,0,0,1,258,175,176,175,176
4037,Playing,5624832,15943,0,0,0,0,1,261,170,176,170,176
4287,Playing,5645312,16001,0,0,0,0,1,268,0,176,0,176
4534,Playing,5665792,16059,0,0,0,0,1,272,0,176,0,176
4786,Playing,5611520,15905,0,0,0,0,1,273,174,176,174,176
5036,Playing,5604352,15885,0,0,0,0,1,276,174,176,174,176
5285,Playing,5652480,16021,0,0,0,0,1,281,1,176,1,176
5532,Playing,5625856,15946,0,0,0,0,1,283,177,177,177,177
5783,Playing,5646336,16004,0,0,0,0,1,287,94,177,94,177
6033,Playing,5611520,15905,0,0,0,0,1,289,0,178,0,178
6285,Playing,5632000,15963,0,0,0,0,1,293,0,178,0,178
6533,Playing,5652480,16021,0,0,0,0,1,297,0,178,0,178
6784,Playing,5681152,16103,0,0,0,0,1,301,0,178,0,178
7031,Playing,5591040,15847,0,0,0,0,1,304,0,178,18,178
7281,Playing,5611520,15905,0,0,0,0,1,308,0,178,0,178
7532,Playing,5604352,15885,0,0,0,0,1,311,0,178,0,178
7781,Playing,5633024,15966,0,0,0,0,1,315,0,178,0,178
8029,Playing,5598208,15867,0,0,0,0,1,317,0,178,0,178
8276,Playing,5599232,15870,0,0,0,0,1,320,178,178,178,178
8523,Playing,5592064,15850,0,0,0,0,1,323,9,178,9,178
8772,Playing,5557248,15751,0,0,0,0,1,325,95,178,95,178
9022,Playing,5605376,15888,0,0,0,0,1,330,0,178,0,178
9270,Playing,5634048,15969,0,0,0,0,1,334,0,178,0,178
9519,Playing,5599232,15870,0,0,0,0,1,336,175,178,175,178
9769,Playing,5582848,15824,0,0,0,0,1,341,0,178,0,178
10020,Playing,5593088,15853,0,0,0,0,1,345,0,178,0,187
10269,Playing,5558272,15754,0,0,0,0,1,347,0,331,0,332
10518,Playing,5551104,15734,0,0,0,0,1,350,0,331,0,332
10768,Playing,5543936,15714,0,0,0,0,1,353,14,331,14,332
11017,Playing,5572608,15795,0,0,0,0,1,357,0,331,0,332
11265,Playing,5593088,15853,0,0,0,0,1,361,0,331,0,332
11514,Playing,5530624,15676,0,0,0,0,1,362,174,331,174,332
11764,Playing,5559296,15757,0,0,0,0,1,366,0,331,0,332
12015,Playing,5552128,15737,0,0,0,0,1,369,0,331,0,332
12265,Playing,5572608,15795,0,0,0,0,1,373,0,331,0,332
12512,Playing,5565440,15775,0,0,0,0,1,376,174,331,174,332
12760,Playing,5538816,15699,0,0,0,0,1,381,0,331,0,332
13010,Playing,5531648,15679,0,0,0,0,1,384,0,331,0,332
13262,Playing,5552128,15737,0,0,0,0,1,388,174,331,175,332
13512,Playing,5489664,15560,0,0,0,0,1,389,95,331,95,332
13760,Playing,5490688,15563,0,0,0,0,1,392,92,331,92,332
14008,Playing,5538816,15699,0,0,0,0,1,397,0,331,0,332
