t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
504,Off,0,0,0,0,0,0,1,0,0,0,0,0
758,Off,0,0,0,0,0,0,1,0,0,0,0,0
1010,Off,0,0,0,0,0,0,1,0,0,0,0,0
1263,Playing,1872896,5308,0,0,0,0,1,79,0,163,0,163
1531,Playing,4023296,11403,0,0,0,0,1,167,0,163,0,163
1785,Playing,5563392,15769,0,0,0,0,1,232,0,163,0,163
2038,Playing,5583872,15827,0,0,0,0,1,236,0,176,0,176
2289,Playing,5576704,15806,0,0,0,0,1,239,0,178,0,178
2542,Playing,5597184,15865,0,0,0,0,1,243,175,178,175,178
2795,Playing,5617664,15923,0,0,0,0,1,247,0,178,0,178
3049,Playing,5555200,15746,0,0,0,0,1,248,91,178,91,178
3296,Playing,5583872,15827,0,0,0,0,1,252,0,178,0,178
3546,Playing,5604352,15885,0,0,0,0,1,256,0,178,0,178
3795,Playing,5597184,15865,0,0,0,0,1,259,0,178,0,178
4043,Playing,5625856,15946,0,0,0,0,1,263,0,178,0,178
4292,Playing,5563392,15769,0,0,0,0,1,267,0,178,0,178
4541,Playing,5556224,15748,0,0,0,0,1,270,175,178,175,178
4794,Playing,5576704,15806,0,0,0,0,1,274,0,178,0,178
5043,Playing,5550080,15731,0,0,0,0,1,276,15,178,15,178
5292,Playing,5570560,15789,0,0,0,0,1,280,0,178,0,178
5542,Playing,5563392,15769,0,0,0,0,1,283,0,179,0,179
5791,Playing,5592064,15850,0,0,0,0,1,287,0,179,0,179
6039,Playing,5557248,15751,0,0,0,0,1,289,2,179,2,179
6286,Playing,5550080,15731,0,0,0,0,1,292,0,179,0,179
6536,Playing,5551104,15734,0,0,0,0,1,295,95,179,95,179
6785,Playing,5571584,15792,0,0,0,0,1,299,179,179,179,179
7039,Playing,5536768,15693,0,0,0,0,1,302,176,179,176,179
7286,Playing,5501952,15595,0,0,0,0,1,306,0,179,0,179
7536,Playing,5558272,15754,0,0,0,0,1,311,0,257,0,257
7785,Playing,5551104,15734,0,0,0,0,1,314,0,257,0,257
8037,Playing,5543936,15714,0,0,0,0,1,317,179,257,179,257
8288,Playing,5509120,15615,0,0,0,0,1,319,16,257,16,257
8538,Playing,5537792,15696,0,0,0,0,1,323,0,257,0,257
8788,Playing,5558272,15754,0,0,0,0,1,327,0,257,0,257
9035,Playing,5551104,15734,0,0,0,0,1,330,176,257,176,257
9285,Playing,5524480,15658,0,0,0,0,1,332,0,257,0,257
9537,Playing,5544960,15717,0,0,0,0,1,336,0,257,0,257
9787,Playing,5528576,15670,0,0,0,0,1,341,0,257,12,257
10036,Playing,5530624,15676,0,0,0,0,1,345,0,257,0,257
10285,Playing,5476352,15522,0,0,0,0,1,346,173,257,173,257
10531,Playing,5524480,15658,0,0,0,0,1,351,0,257,0,257
10781,Playing,5517312,15638,0,0,0,0,1,354,0,257,0,257
11033,Playing,5537792,15696,0,0,0,0,1,358,0,257,0,257
11285,Playing,5483520,15542,0,0,0,0,1,359,95,257,95,257
11534,Playing,5504000,15600,0,0,0,0,1,363,0,257,0,257
11784,Playing,5524480,15658,0,0,0,0,1,367,14,257,14,257
12033,Playing,5544960,15717,0,0,0,0,1,371,13,257,13,257
12281,Playing,5545984,15719,0,0,0,0,1,374,0,257,0,257
12530,Playing,5511168,15621,0,0,0,0,1,376,1,257,1,257
12779,Playing,5484544,15545,0,0,0,0,1,381,96,257,96,257
13026,Playing,5477376,15525,0,0,0,0,1,384,96,257,96,257
13273,Playing,5470208,15505,0,0,0,0,1,387,0,257,0,257
13523,Playing,5471232,15508,0,0,0,0,1,390,94,257,95,257
13771,Playing,5491712,15566,0,0,0,0,1,394,94,257,94,257
14019,Playing,5429248,15389,0,0,0,0,1,395,174,257,174,257
