t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
505,Off,0,0,0,0,0,0,1,0,0,0,0,0
758,Off,0,0,0,0,0,0,1,0,0,0,0,0
1012,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
1264,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
1516,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
1768,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
2021,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
2274,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
2526,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
2779,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
3034,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
3284,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
3536,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
3786,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
4033,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
4286,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
4538,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
4788,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
5039,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
5286,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
5534,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
5786,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
6035,Reconnecting,0,0,0,0,0,0,1,27,0,152,0,0
6284,Reconnecting,0,0,0,0,0,0,2,27,0,152,0,0
6533,Reconnecting,0,0,0,0,0,0,2,27,0,152,0,0
6783,Reconnecting,0,0,0,0,0,0,2,27,0,152,0,0
7034,Reconnecting,801792,2272,0,0,0,0,2,58,0,155,0,156
7284,Playing,1913856,5424,0,0,0,0,2,106,0,157,0,157
7532,Playing,5666816,16062,0,0,0,0,2,258,0,157,0,157
7780,Playing,5687296,16120,0,0,0,0,2,262,0,178,0,178
8029,Playing,5688320,16123,0,0,0,0,2,265,175,178,175,178
8278,Playing,5708800,16181,0,0,0,0,2,269,0,178,0,178
8529,Playing,5646336,16004,0,0,0,0,2,270,176,178,176,178
8779,Playing,5666816,16062,0,0,0,0,2,274,0,178,0,178
9029,Playing,5695488,16143,0,0,0,0,2,278,0,178,0,178
9278,Playing,5688320,16123,0,0,0,0,2,281,93,178,94,178
9530,Playing,5681152,16103,0,0,0,0,2,284,91,179,92,179
9778,Playing,5673984,16082,0,0,0,0,2,287,0,179,0,179
10028,Playing,5675008,16085,0,0,0,0,2,293,0,179,13,179
10276,Playing,5695488,16143,0,0,0,0,2,297,0,179,0,179
10524,Playing,5633024,15966,0,0,0,0,2,298,177,179,177,179
10775,Playing,5661696,16047,0,0,0,0,2,302,0,179,0,179
11023,Playing,5682176,16105,0,0,0,0,2,306,0,179,0,179
11270,Playing,5675008,16085,0,0,0,0,2,309,0,255,0,256
11520,Playing,5648384,16010,0,0,0,0,2,311,0,255,0,256
11769,Playing,5641216,15989,0,0,0,0,2,314,175,255,175,256
12019,Playing,5634048,15969,0,0,0,0,2,317,176,255,176,256
12266,Playing,5635072,15972,0,0,0,0,2,320,1,255,1,256
12516,Playing,5627904,15952,0,0,0,0,2,323,14,255,14,256
12763,Playing,5648384,16010,0,0,0,0,2,327,174,255,174,256
13015,Playing,5641216,15989,0,0,0,0,2,333,14,255,14,256
13262,Playing,5642240,15992,0,0,0,0,2,336,0,255,0,256
13510,Playing,5607424,15894,0,0,0,0,2,338,0,255,0,256
13760,Playing,5627904,15952,0,0,0,0,2,342,0,255,0,256
14011,Playing,5628928,15955,0,0,0,0,2,345,92,255,92,256
