t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
253,Off,0,0,0,0,0,0,1,0,0,0,0,0
505,Off,0,0,0,0,0,0,1,0,0,0,0,0
758,Off,0,0,0,0,0,0,1,0,0,0,0,0
1011,Off,0,0,0,0,0,0,1,0,0,0,0,0
1264,Off,663552,1880,0,0,0,0,1,31,0,0,0,0
1517,Playing,2682880,7604,0,0,0,0,1,116,0,158,0,158
1769,Playing,5532672,15682,0,0,0,0,1,232,13,158,13,158
2023,Playing,5497856,15583,0,0,0,0,1,234,0,340,0,340
2277,Playing,5526528,15664,0,0,0,0,1,238,0,340,0,340
2530,Playing,5547008,15722,0,0,0,0,1,242,0,340,0,340
2784,Playing,5567488,15780,0,0,0,0,1,246,0,340,0,340
3051,Playing,5552128,15737,0,0,0,0,1,249,0,340,0,340
3303,Playing,5517312,15638,0,0,0,0,1,251,0,340,0,340
3551,Playing,5518336,15641,0,0,0,0,1,254,0,340,0,340
3800,Playing,5538816,15699,0,0,0,0,1,258,93,340,93,340
4049,Playing,5559296,15757,0,0,0,0,1,262,0,340,1,340
4297,Playing,5505024,15603,0,0,0,0,1,263,172,340,172,340
4548,Playing,5497856,15583,0,0,0,0,1,269,0,340,0,340
4798,Playing,5518336,15641,0,0,0,0,1,273,0,340,0,340
5047,Playing,5511168,15621,0,0,0,0,1,276,0,340,0,340
5295,Playing,5484544,15545,0,0,0,0,1,278,0,340,0,340
5545,Playing,5505024,15603,0,0,0,0,1,282,0,340,0,340
5791,Playing,5497856,15583,0,0,0,0,1,285,175,340,175,340
6044,Playing,5526528,15664,0,0,0,0,1,289,0,340,0,340
6293,Playing,5491712,15566,0,0,0,0,1,291,0,340,0,340
6545,Playing,5484544,15545,0,0,0,0,1,294,176,340,176,340
6794,Playing,5505024,15603,0,0,0,0,1,298,0,340,0,340
7042,Playing,5506048,15606,0,0,0,0,1,304,0,340,13,340
7289,Playing,5443584,15429,0,0,0,0,1,305,94,340,94,340
7538,Playing,5464064,15487,0,0,0,0,1,309,0,340,0,340
7787,Playing,5492736,15568,0,0,0,0,1,313,0,340,0,340
8038,Playing,5485568,15548,0,0,0,0,1,316,0,340,0,340
8289,Playing,5450752,15449,0,0,0,0,1,318,0,340,0,340
8539,Playing,5443584,15429,0,0,0,0,1,321,177,340,177,340
8787,Playing,5472256,15510,0,0,0,0,1,325,176,340,176,340
9036,Playing,5492736,15568,0,0,0,0,1,329,0,340,0,340
9286,Playing,5513216,15627,0,0,0,0,1,333,0,340,0,340
