t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
506,Off,0,0,0,0,0,0,1,5,0,118,0,0
759,Off,921600,2612,0,0,0,0,1,13,0,118,0,120
1012,Off,921600,2612,0,0,0,0,1,13,0,118,0,120
1264,Off,921600,2612,0,0,0,0,1,13,0,118,0,120
1518,Off,1133568,3213,0,0,0,0,1,15,0,680,0,681
1772,Off,1133568,3213,0,0,0,0,1,15,0,680,0,681
2025,Off,1133568,3213,0,0,0,0,1,15,0,680,0,681
2278,Off,1299456,3683,0,0,0,0,1,17,0,761,0,761
2530,Off,1299456,3683,0,0,0,0,1,17,0,761,0,761
2782,Off,1299456,3683,0,0,0,0,1,17,0,761,0,761
3001,Playing,1463296,4147,0,0,0,0,1,19,0,761,0,761
3312,Playing,1348608,3822,0,0,0,0,1,19,0,761,0,761
3562,Playing,1266688,3590,0,0,0,0,1,19,0,761,0,761
3751,Playing,1395712,3956,0,0,0,0,1,21,0,865,0,866
4060,Playing,1289216,3654,0,0,0,0,1,21,0,865,0,866
4310,Playing,1199104,3398,0,0,0,0,1,21,0,865,0,866
4558,Playing,1319936,3741,0,0,0,0,1,23,0,865,0,866
4807,Playing,1229824,3485,0,0,0,0,1,23,0,865,0,866
5057,Playing,1139712,3230,0,0,0,0,1,23,0,865,0,866
5309,Playing,1261568,3575,0,0,0,0,1,25,0,865,0,866
5559,Playing,1179648,3343,0,0,0,0,1,25,0,865,0,866
5806,Playing,1273856,3610,0,0,0,0,1,27,0,865,0,866
6055,Playing,1183744,3355,0,0,0,0,1,27,0,865,0,866
6308,Playing,1093632,3099,0,0,0,0,1,27,0,865,0,866
6555,Playing,1011712,2867,0,0,0,0,1,27,0,865,0,866
6802,Playing,1152000,3265,0,0,0,0,1,29,0,877,0,877
7052,Playing,1061888,3009,0,0,0,0,1,29,0,877,0,877
7302,Playing,979968,2777,0,0,0,0,1,29,0,877,0,877
7552,Playing,1074176,3044,0,0,0,0,1,31,0,877,0,877
7799,Playing,984064,2789,0,0,0,0,1,31,0,877,0,877
8049,Playing,1115136,3160,0,0,0,0,1,33,0,877,0,877
8300,Playing,1033216,2928,0,0,0,0,1,33,0,877,0,877
8547,Playing,943104,2673,0,0,0,0,1,33,0,877,0,877
8797,Playing,852992,2417,0,0,0,0,1,33,0,877,0,877
9045,Playing,964608,2734,0,0,0,0,1,35,0,969,0,969
9296,Playing,874496,2478,0,0,0,0,1,35,0,969,0,969
9545,Playing,1005568,2850,0,0,0,0,1,37,0,969,0,969
9795,Playing,915456,2594,0,0,0,0,1,37,0,969,0,969
10045,Playing,825344,2339,0,0,0,0,1,37,0,969,0,969
10294,Playing,872448,2472,0,0,0,0,1,39,0,969,0,969
10542,Playing,782336,2217,0,0,0,0,1,39,0,969,0,969
10793,Playing,692224,1962,0,0,0,0,1,39,0,969,0,969
11042,Playing,822272,2330,0,0,0,0,1,41,0,969,0,969
11293,Playing,732160,2075,0,0,0,0,1,41,0,969,0,969
11542,Playing,642048,1819,0,0,0,0,1,41,0,969,0,969
11792,Playing,708608,2008,0,0,0,0,1,43,0,969,0,969
12040,Playing,626688,1776,0,0,0,0,1,43,0,969,0,969
12289,Playing,748544,2121,0,0,0,0,1,45,0,969,0,969
12539,Playing,658432,1866,0,0,0,0,1,45,0,969,0,969
12788,Playing,568320,1610,0,0,0,0,1,45,0,969,0,969
13038,Playing,670720,1901,0,0,0,0,1,47,0,969,0,969
13286,Playing,580608,1645,0,0,0,0,1,47,0,969,0,969
13533,Playing,490496,1390,0,0,0,0,1,47,0,969,0,969
13784,Playing,612352,1735,0,0,0,0,1,49,0,969,0,969
14032,Playing,530432,1503,0,0,0,0,1,49,0,969,0,969
14284,Playing,440320,1248,0,0,0,0,1,49,0,969,0,969
