t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
253,Off,0,0,0,0,0,0,1,0,0,0,0,0
505,Off,0,0,0,0,0,0,1,0,0,0,0,0
757,Off,0,0,0,0,0,0,1,0,0,0,0,0
1010,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
1262,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
1515,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
1767,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
2020,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
2272,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
2524,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
2777,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
3033,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
3283,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
3531,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
3783,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
4033,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
4282,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
4529,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
4780,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
5028,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
5280,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
5525,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
5777,Reconnecting,0,0,0,0,0,0,1,6,111,111,0,0
6026,Reconnecting,0,0,0,0,0,0,2,6,111,111,0,0
6276,Reconnecting,0,0,0,0,0,0,2,6,111,111,0,0
6527,Reconnecting,0,0,0,0,0,0,2,6,111,111,0,0
6777,Playing,1532928,4345,0,0,0,0,2,19,0,111,0,108
7024,Playing,2575360,7299,0,0,0,0,2,27,0,111,0,108
7275,Playing,2485248,7044,0,0,0,0,2,27,0,111,0,108
7525,Playing,2395136,6788,0,0,0,0,2,27,0,111,0,108
7776,Playing,2313216,6556,0,0,0,0,2,27,0,111,0,108
8022,Playing,2518016,7137,0,0,0,0,2,29,0,1097,0,1097
8270,Playing,2427904,6881,0,0,0,0,2,29,0,1097,0,1097
8521,Playing,2337792,6626,0,0,0,0,2,29,0,1097,0,1097
8767,Playing,2255872,6394,0,0,0,0,2,29,0,1097,0,1097
9020,Playing,2451456,6948,0,0,0,0,2,31,0,1097,0,1097
