t_ms,state,buffered_bytes,buffered_ms,underruns,resumes,play_failures,stream_rebuilds,sessions,chunk_reads,last_chunk_ms,max_chunk_ms,last_push_gap_ms,max_push_gap_ms
50,Off,0,0,0,0,0,0,1,0,0,0,0,0
252,Off,0,0,0,0,0,0,1,0,0,0,0,0
506,Off,0,0,0,0,0,0,1,0,0,0,0,0
760,Off,0,0,0,0,0,0,1,0,0,0,0,0
1012,Off,0,0,0,0,0,0,1,0,0,0,0,0
1265,Playing,1872896,5308,0,0,0,0,1,79,0,158,0,158
1520,Playing,3635200,10303,0,0,0,0,1,150,0,163,0,163
1772,Playing,5591040,15847,0,0,0,0,1,233,0,163,0,163
2025,Playing,5611520,15905,0,0,0,0,1,237,0,178,0,179
2278,Playing,5632000,15963,0,0,0,0,1,241,0,179,0,179
2532,Playing,5597184,15865,0,0,0,0,1,243,177,179,177,179
2784,Playing,5598208,15867,0,0,0,0,1,246,0,180,0,180
3047,Playing,5582848,15824,0,0,0,0,1,249,0,180,0,180
3299,Playing,5611520,15905,0,0,0,0,1,253,0,180,0,180
3550,Playing,5632000,15963,0,0,0,0,1,257,0,180,0,180
3799,Playing,5652480,16021,0,0,0,0,1,261,0,180,0,180
4049,Playing,5617664,15923,0,0,0,0,1,264,0,180,0,180
4296,Playing,5591040,15847,0,0,0,0,1,268,0,180,0,180
4547,Playing,5583872,15827,0,0,0,0,1,271,2,180,2,180
4797,Playing,5576704,15806,0,0,0,0,1,274,94,180,94,180
5046,Playing,5569536,15786,0,0,0,0,1,277,0,180,0,180
5295,Playing,5570560,15789,0,0,0,0,1,280,175,180,175,180
5546,Playing,5591040,15847,0,0,0,0,1,284,96,180,96,180
5794,Playing,5583872,15827,0,0,0,0,1,287,0,180,0,180
6041,Playing,5612544,15908,0,0,0,0,1,291,0,180,0,180
6290,Playing,5577728,15809,0,0,0,0,1,293,0,180,0,180
6538,Playing,5598208,15867,0,0,0,0,1,297,0,180,0,180
6787,Playing,5599232,15870,0,0,0,0,1,300,0,180,0,180
7036,Playing,5564416,15772,0,0,0,0,1,305,0,180,0,180
7285,Playing,5529600,15673,0,0,0,0,1,307,177,180,177,180
7538,Playing,5550080,15731,0,0,0,0,1,311,0,180,0,180
7786,Playing,5578752,15812,0,0,0,0,1,315,0,180,0,180
8034,Playing,5516288,15635,0,0,0,0,1,316,95,180,95,180
8284,Playing,5536768,15693,0,0,0,0,1,320,177,180,177,180
8532,Playing,5565440,15775,0,0,0,0,1,324,0,180,0,180
8783,Playing,5558272,15754,0,0,0,0,1,327,179,180,179,180
9031,Playing,5578752,15812,0,0,0,0,1,331,0,180,0,180
9280,Playing,5552128,15737,0,0,0,0,1,333,0,180,0,180
9529,Playing,5544960,15717,0,0,0,0,1,336,178,180,178,180
9777,Playing,5537792,15696,0,0,0,0,1,342,175,180,175,180
10028,Playing,5475328,15519,0,0,0,0,1,343,93,180,93,180
10274,Playing,5531648,15679,0,0,0,0,1,348,3,180,4,180
10524,Playing,5524480,15658,0,0,0,0,1,351,0,180,0,180
10773,Playing,5544960,15717,0,0,0,0,1,355,0,180,0,180
11024,Playing,5545984,15719,0,0,0,0,1,358,174,180,174,180
11273,Playing,5538816,15699,0,0,0,0,1,361,0,180,0,180
11522,Playing,5504000,15600,0,0,0,0,1,363,177,180,177,180
11772,Playing,5524480,15658,0,0,0,0,1,367,177,180,177,180
12021,Playing,5497856,15583,0,0,0,0,1,369,13,180,13,180
12270,Playing,5490688,15563,0,0,0,0,1,372,92,180,92,180
12520,Playing,5511168,15621,0,0,0,0,1,376,174,180,174,180
12771,Playing,5539840,15702,0,0,0,0,1,383,0,180,0,180
13020,Playing,5477376,15525,0,0,0,0,1,384,95,180,95,180
13273,Playing,5497856,15583,0,0,0,0,1,388,0,180,0,180
13524,Playing,5490688,15563,0,0,0,0,1,391,15,180,15,180
13774,Playing,5511168,15621,0,0,0,0,1,395,0,180,0,180
14022,Playing,5484544,15545,0,0,0,0,1,397,0,180,0,180
